img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30;pw_31;pw_32;pw_33;pw_34;pw_35;pw_36;pw_37;pw_38;pw_39;pw_40
Pieza_06_foto180;6;180;0.0;0.0;0.0;0.0;16.93359375;39.375;34.23828125;14.84375;3.7109375;0.0;0.0;16.11328125;33.59375;33.59375;33.59375;92.1484375;100.0;100.0;100.0;100.0;0.0;0.0;0.0;4.43359375;88.828125;100.0;100.0;97.48046875;12.109375;0.0;0.0;31.1328125;42.34375;62.65625;70.15625;100.0;100.0;100.0;100.0;100.0
Pieza_06_foto181;6;181;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.4453125;81.0546875;86.40625;86.40625;86.1328125;55.703125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.5546875;58.90625;100.0;100.0;100.0;85.546875;23.1640625;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_06_foto182;6;182;17.8125;17.63888888888889;17.03125;23.71527777777778;39.0625;39.0625;46.354166666666664;98.19444444444444;100.0;100.0;100.0;100.0;97.70833333333333;89.6875;89.6875;57.916666666666664;6.527777777777778;0.0;0.0;8.628472222222221;0.0;0.0;0.0;5.138888888888889;95.38194444444444;100.0;87.5;87.5;87.06597222222223;85.46875;88.99305555555556;100.0;94.39236111111111;29.375;23.75;23.75;23.75;63.75;63.35069444444444;4.236111111111111
Pieza_06_foto183;6;183;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.802083333333332;46.5625;86.40625;86.40625;86.40625;86.40625;79.27083333333333;58.229166666666664;12.395833333333334;0.0;0.0;0.0;0.0
Pieza_06_foto184;6;184;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.579545454545455;76.00852272727273;81.25;81.25;100.0;97.32954545454545;82.76988636363636;69.0625;62.52840909090909;47.65625;20.369318181818183;18.394886363636363;15.3125;0.0;0.0;12.755681818181818;94.0340909090909;52.79829545454545;0.0;0.0;1.0511363636363635;50.95170454545455;69.0625;69.0625;69.0625;69.0625;70.71022727272727;98.06818181818181;97.8125;86.86079545454545;34.38920454545455;3.9488636363636362;0.0
Pieza_06_foto188;6;188;0.0;0.0;0.0;0.0;3.7760416666666665;47.578125;90.78125;95.96354166666667;69.21875;38.333333333333336;33.932291666666664;15.625;4.348958333333333;0.0;2.109375;34.166666666666664;90.67708333333333;100.0;82.36979166666667;78.4375;17.8125;8.90625;0.0;0.0;0.0;0.0;51.067708333333336;100.0;100.0;97.94270833333333;87.65625;86.22395833333333;21.796875;0.0;0.0;0.0;22.369791666666668;100.0;100.0;100.0
Pieza_06_foto189;6;189;0.0;0.0;2.390625;39.046875;77.4375;75.140625;10.0625;0.0;8.578125;76.359375;75.515625;34.0625;17.640625;0.0;2.203125;70.796875;100.0;93.59375;57.9375;23.40625;0.0;0.0;0.0;41.234375;73.75;72.65625;34.109375;0.0;0.0;48.953125;100.0;100.0;83.3125;21.875;9.890625;3.09375;11.875;5.9375;0.0;0.0
Pieza_06_foto19;6;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.984375;31.09375;95.1953125;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;43.4375;43.4375;43.4375;43.4375;43.4375;48.59375;48.59375;48.59375;48.59375;81.7578125;92.65625;92.65625;92.65625;92.65625;92.65625;92.65625;94.4921875;100.0;100.0;100.0
Pieza_06_foto190;6;190;0.0;0.0;23.333333333333332;29.453125;40.9765625;85.41666666666667;71.19791666666667;13.138020833333334;0.0;10.729166666666666;17.65625;73.02083333333333;60.9765625;45.46875;11.25;39.84375;13.645833333333334;34.0234375;42.135416666666664;24.088541666666668;0.0;0.0;0.0;0.0;0.0;77.25260416666667;82.13541666666667;42.96875;9.3359375;3.1770833333333335;75.46875;96.35416666666667;100.0;100.0;57.903645833333336;46.40625;48.502604166666664;56.09375;50.963541666666664;41.09375
Pieza_06_foto191;6;191;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.447916666666666;35.208333333333336;44.375;44.375;44.375;44.375;35.104166666666664;12.760416666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
