img_name;folder;image;h_1;h_2;h_3;h_4;h_5;h_6;h_7;h_8;h_9;h_10;h_11;h_12;h_13;h_14;h_15;h_16;h_17;h_18;h_19;h_20;h_21;h_22;h_23;h_24;h_25;h_26;h_27;h_28;h_29;h_30;h_31;h_32;h_33;h_34;h_35;h_36;h_37;h_38;h_39;h_40;h_41;h_42;h_43;h_44;h_45;h_46;h_47;h_48;h_49;h_50;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30;pw_31;pw_32;pw_33;pw_34;pw_35;pw_36;pw_37;pw_38;pw_39;pw_40;pw_41;pw_42;pw_43;pw_44;pw_45;pw_46;pw_47;pw_48;pw_49;pw_50
Pieza_12_foto0540;12;540;66;66;66;66;66;65;65;65;61;61;61;61;65;65;65;65;65;65;65;64;62;57;57;57;58;60;62;62;63;63;63;63;63;63;61;61;61;61;61;61;60;59;58;57;57;57;57;56;55;55;37.878787878787875;37.878787878787875;37.878787878787875;37.878787878787875;37.878787878787875;38.46153846153846;38.46153846153846;38.46153846153846;40.98360655737705;40.98360655737705;40.98360655737705;40.98360655737705;38.46153846153846;38.46153846153846;38.46153846153846;38.46153846153846;38.46153846153846;38.46153846153846;38.46153846153846;39.0625;40.32258064516129;43.85964912280702;43.85964912280702;43.85964912280702;43.10344827586207;41.666666666666664;40.32258064516129;40.32258064516129;39.682539682539684;39.682539682539684;39.682539682539684;39.682539682539684;39.682539682539684;39.682539682539684;40.98360655737705;40.98360655737705;40.98360655737705;40.98360655737705;40.98360655737705;40.98360655737705;41.666666666666664;42.3728813559322;43.10344827586207;43.85964912280702;43.85964912280702;43.85964912280702;43.85964912280702;44.642857142857146;45.45454545454545;45.45454545454545
Pieza_12_foto0541;12;541;64;64;64;64;64;64;64;60;60;59;58;56;56;54;53;53;53;65;65;65;65;65;64;64;64;64;64;64;64;65;65;65;65;65;64;62;62;61;61;61;60;60;60;59;59;58;57;56;55;55;39.0625;39.0625;39.0625;39.0625;39.0625;39.0625;39.0625;41.666666666666664;41.666666666666664;42.3728813559322;43.10344827586207;44.642857142857146;44.642857142857146;46.2962962962963;47.16981132075472;47.16981132075472;47.16981132075472;38.46153846153846;38.46153846153846;38.46153846153846;38.46153846153846;38.46153846153846;39.0625;39.0625;39.0625;39.0625;39.0625;39.0625;39.0625;38.46153846153846;38.46153846153846;38.46153846153846;38.46153846153846;38.46153846153846;39.0625;40.32258064516129;40.32258064516129;40.98360655737705;40.98360655737705;40.98360655737705;41.666666666666664;41.666666666666664;41.666666666666664;42.3728813559322;42.3728813559322;43.10344827586207;43.85964912280702;44.642857142857146;45.45454545454545;45.45454545454545
Pieza_12_foto0557;12;557;65;65;65;65;65;65;65;65;65;65;64;64;64;64;64;62;62;62;62;62;61;61;61;60;60;60;60;60;60;59;59;59;58;57;57;57;56;56;55;55;54;54;53;52;51;51;51;50;49;49;38.46153846153846;38.46153846153846;38.46153846153846;38.46153846153846;38.46153846153846;38.46153846153846;38.46153846153846;38.46153846153846;38.46153846153846;38.46153846153846;39.0625;39.0625;39.0625;39.0625;39.0625;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.98360655737705;40.98360655737705;40.98360655737705;41.666666666666664;41.666666666666664;41.666666666666664;41.666666666666664;41.666666666666664;41.666666666666664;42.3728813559322;42.3728813559322;42.3728813559322;43.10344827586207;43.85964912280702;43.85964912280702;43.85964912280702;44.642857142857146;44.642857142857146;45.45454545454545;45.45454545454545;46.2962962962963;46.2962962962963;47.16981132075472;48.07692307692308;49.01960784313726;49.01960784313726;49.01960784313726;50.0;51.02040816326531;51.02040816326531
Pieza_12_foto0558;12;558;69;69;68;68;68;68;67;67;67;67;67;66;66;66;65;65;63;61;61;57;57;56;54;54;58;61;61;61;61;61;60;60;59;58;58;58;58;57;56;56;56;56;55;55;55;53;53;52;52;52;36.231884057971016;36.231884057971016;36.76470588235294;36.76470588235294;36.76470588235294;36.76470588235294;37.3134328358209;37.3134328358209;37.3134328358209;37.3134328358209;37.3134328358209;37.878787878787875;37.878787878787875;37.878787878787875;38.46153846153846;38.46153846153846;39.682539682539684;40.98360655737705;40.98360655737705;43.85964912280702;43.85964912280702;44.642857142857146;46.2962962962963;46.2962962962963;43.10344827586207;40.98360655737705;40.98360655737705;40.98360655737705;40.98360655737705;40.98360655737705;41.666666666666664;41.666666666666664;42.3728813559322;43.10344827586207;43.10344827586207;43.10344827586207;43.10344827586207;43.85964912280702;44.642857142857146;44.642857142857146;44.642857142857146;44.642857142857146;45.45454545454545;45.45454545454545;45.45454545454545;47.16981132075472;47.16981132075472;48.07692307692308;48.07692307692308;48.07692307692308
Pieza_12_foto0576;12;576;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;82;75;75;75;61;61;61;61;82;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;30.48780487804878;33.333333333333336;33.333333333333336;33.333333333333336;40.98360655737705;40.98360655737705;40.98360655737705;40.98360655737705;30.48780487804878;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778;27.77777777777778
Pieza_12_foto0592;12;592;80;80;80;80;80;79;79;79;77;77;77;77;77;77;76;75;75;75;75;75;74;74;73;73;73;73;72;72;72;72;71;71;71;71;71;70;69;68;67;65;62;59;57;57;57;57;57;56;54;54;31.25;31.25;31.25;31.25;31.25;31.645569620253166;31.645569620253166;31.645569620253166;32.467532467532465;32.467532467532465;32.467532467532465;32.467532467532465;32.467532467532465;32.467532467532465;32.89473684210526;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.78378378378378;33.78378378378378;34.24657534246575;34.24657534246575;34.24657534246575;34.24657534246575;34.72222222222222;34.72222222222222;34.72222222222222;34.72222222222222;35.2112676056338;35.2112676056338;35.2112676056338;35.2112676056338;35.2112676056338;35.714285714285715;36.231884057971016;36.76470588235294;37.3134328358209;38.46153846153846;40.32258064516129;42.3728813559322;43.85964912280702;43.85964912280702;43.85964912280702;43.85964912280702;43.85964912280702;44.642857142857146;46.2962962962963;46.2962962962963
Pieza_12_foto0593;12;593;65;65;65;65;70;70;70;70;70;70;70;70;70;68;67;66;65;63;63;63;63;63;66;66;67;68;68;68;68;68;68;67;67;67;67;67;65;65;65;64;64;63;62;62;61;60;58;58;58;58;38.46153846153846;38.46153846153846;38.46153846153846;38.46153846153846;35.714285714285715;35.714285714285715;35.714285714285715;35.714285714285715;35.714285714285715;35.714285714285715;35.714285714285715;35.714285714285715;35.714285714285715;36.76470588235294;37.3134328358209;37.878787878787875;38.46153846153846;39.682539682539684;39.682539682539684;39.682539682539684;39.682539682539684;39.682539682539684;37.878787878787875;37.878787878787875;37.3134328358209;36.76470588235294;36.76470588235294;36.76470588235294;36.76470588235294;36.76470588235294;36.76470588235294;37.3134328358209;37.3134328358209;37.3134328358209;37.3134328358209;37.3134328358209;38.46153846153846;38.46153846153846;38.46153846153846;39.0625;39.0625;39.682539682539684;40.32258064516129;40.32258064516129;40.98360655737705;41.666666666666664;43.10344827586207;43.10344827586207;43.10344827586207;43.10344827586207
Pieza_12_foto0611;12;611;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;85;85;85;85;85;84;84;83;83;83;83;83;80;80;80;80;79;79;79;79;79;79;78;77;76;76;76;76;76;76;75;74;73;69;68;30.120481927710845;30.120481927710845;30.120481927710845;30.120481927710845;30.120481927710845;30.120481927710845;30.120481927710845;30.120481927710845;30.120481927710845;30.120481927710845;30.120481927710845;30.120481927710845;30.120481927710845;30.120481927710845;30.120481927710845;29.41176470588235;29.41176470588235;29.41176470588235;29.41176470588235;29.41176470588235;29.761904761904763;29.761904761904763;30.120481927710845;30.120481927710845;30.120481927710845;30.120481927710845;30.120481927710845;31.25;31.25;31.25;31.25;31.645569620253166;31.645569620253166;31.645569620253166;31.645569620253166;31.645569620253166;31.645569620253166;32.05128205128205;32.467532467532465;32.89473684210526;32.89473684210526;32.89473684210526;32.89473684210526;32.89473684210526;32.89473684210526;33.333333333333336;33.78378378378378;34.24657534246575;36.231884057971016;36.76470588235294
Pieza_12_foto0612;12;612;37;37;37;74;78;79;79;79;80;80;82;82;82;82;82;82;82;82;82;81;80;80;79;78;78;78;78;76;76;76;76;75;75;75;75;75;74;74;74;73;72;72;72;68;60;60;60;63;64;64;67.56756756756756;67.56756756756756;67.56756756756756;33.78378378378378;32.05128205128205;31.645569620253166;31.645569620253166;31.645569620253166;31.25;31.25;30.48780487804878;30.48780487804878;30.48780487804878;30.48780487804878;30.48780487804878;30.48780487804878;30.48780487804878;30.48780487804878;30.48780487804878;30.864197530864196;31.25;31.25;31.645569620253166;32.05128205128205;32.05128205128205;32.05128205128205;32.05128205128205;32.89473684210526;32.89473684210526;32.89473684210526;32.89473684210526;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.78378378378378;33.78378378378378;33.78378378378378;34.24657534246575;34.72222222222222;34.72222222222222;34.72222222222222;36.76470588235294;41.666666666666664;41.666666666666664;41.666666666666664;39.682539682539684;39.0625;39.0625
Pieza_12_foto0629;12;629;61;61;61;63;65;66;67;67;67;67;68;68;68;68;68;68;68;68;68;67;67;67;67;67;67;67;66;66;66;66;65;65;65;64;63;61;61;61;61;61;61;60;54;51;51;51;53;53;53;53;40.98360655737705;40.98360655737705;40.98360655737705;39.682539682539684;38.46153846153846;37.878787878787875;37.3134328358209;37.3134328358209;37.3134328358209;37.3134328358209;36.76470588235294;36.76470588235294;36.76470588235294;36.76470588235294;36.76470588235294;36.76470588235294;36.76470588235294;36.76470588235294;36.76470588235294;37.3134328358209;37.3134328358209;37.3134328358209;37.3134328358209;37.3134328358209;37.3134328358209;37.3134328358209;37.878787878787875;37.878787878787875;37.878787878787875;37.878787878787875;38.46153846153846;38.46153846153846;38.46153846153846;39.0625;39.682539682539684;40.98360655737705;40.98360655737705;40.98360655737705;40.98360655737705;40.98360655737705;40.98360655737705;41.666666666666664;46.2962962962963;49.01960784313726;49.01960784313726;49.01960784313726;47.16981132075472;47.16981132075472;47.16981132075472;47.16981132075472
Pieza_12_foto0630;12;630;70;70;70;70;69;69;69;71;72;72;73;75;78;81;81;81;81;81;76;65;59;53;53;53;59;61;63;67;67;67;67;67;67;67;67;66;65;63;62;60;60;60;60;59;58;58;58;58;58;58;35.714285714285715;35.714285714285715;35.714285714285715;35.714285714285715;36.231884057971016;36.231884057971016;36.231884057971016;35.2112676056338;34.72222222222222;34.72222222222222;34.24657534246575;33.333333333333336;32.05128205128205;30.864197530864196;30.864197530864196;30.864197530864196;30.864197530864196;30.864197530864196;32.89473684210526;38.46153846153846;42.3728813559322;47.16981132075472;47.16981132075472;47.16981132075472;42.3728813559322;40.98360655737705;39.682539682539684;37.3134328358209;37.3134328358209;37.3134328358209;37.3134328358209;37.3134328358209;37.3134328358209;37.3134328358209;37.3134328358209;37.878787878787875;38.46153846153846;39.682539682539684;40.32258064516129;41.666666666666664;41.666666666666664;41.666666666666664;41.666666666666664;42.3728813559322;43.10344827586207;43.10344827586207;43.10344827586207;43.10344827586207;43.10344827586207;43.10344827586207
Pieza_12_foto0648;12;648;72;72;72;72;74;74;74;74;74;74;74;73;72;71;71;71;71;65;52;52;71;71;71;71;71;71;71;72;72;72;73;73;73;73;73;72;71;71;69;66;64;63;62;61;61;62;62;63;63;63;34.72222222222222;34.72222222222222;34.72222222222222;34.72222222222222;33.78378378378378;33.78378378378378;33.78378378378378;33.78378378378378;33.78378378378378;33.78378378378378;33.78378378378378;34.24657534246575;34.72222222222222;35.2112676056338;35.2112676056338;35.2112676056338;35.2112676056338;38.46153846153846;48.07692307692308;48.07692307692308;35.2112676056338;35.2112676056338;35.2112676056338;35.2112676056338;35.2112676056338;35.2112676056338;35.2112676056338;34.72222222222222;34.72222222222222;34.72222222222222;34.24657534246575;34.24657534246575;34.24657534246575;34.24657534246575;34.24657534246575;34.72222222222222;35.2112676056338;35.2112676056338;36.231884057971016;37.878787878787875;39.0625;39.682539682539684;40.32258064516129;40.98360655737705;40.98360655737705;40.32258064516129;40.32258064516129;39.682539682539684;39.682539682539684;39.682539682539684
Pieza_12_foto0667;12;667;62;62;62;62;62;63;64;64;64;64;64;64;64;63;63;63;62;62;62;62;62;62;62;62;62;61;58;58;57;56;56;56;57;57;57;57;56;56;56;55;55;55;55;55;55;54;54;54;54;54;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;39.682539682539684;39.0625;39.0625;39.0625;39.0625;39.0625;39.0625;39.0625;39.682539682539684;39.682539682539684;39.682539682539684;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.98360655737705;43.10344827586207;43.10344827586207;43.85964912280702;44.642857142857146;44.642857142857146;44.642857142857146;43.85964912280702;43.85964912280702;43.85964912280702;43.85964912280702;44.642857142857146;44.642857142857146;44.642857142857146;45.45454545454545;45.45454545454545;45.45454545454545;45.45454545454545;45.45454545454545;45.45454545454545;46.2962962962963;46.2962962962963;46.2962962962963;46.2962962962963;46.2962962962963
Pieza_12_foto0685;12;685;64;64;64;64;64;64;64;64;64;64;64;63;63;63;63;63;63;63;63;63;63;62;62;62;62;61;60;60;60;59;58;58;57;57;57;56;56;56;54;54;54;54;53;52;52;51;51;50;50;50;39.0625;39.0625;39.0625;39.0625;39.0625;39.0625;39.0625;39.0625;39.0625;39.0625;39.0625;39.682539682539684;39.682539682539684;39.682539682539684;39.682539682539684;39.682539682539684;39.682539682539684;39.682539682539684;39.682539682539684;39.682539682539684;39.682539682539684;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.98360655737705;41.666666666666664;41.666666666666664;41.666666666666664;42.3728813559322;43.10344827586207;43.10344827586207;43.85964912280702;43.85964912280702;43.85964912280702;44.642857142857146;44.642857142857146;44.642857142857146;46.2962962962963;46.2962962962963;46.2962962962963;46.2962962962963;47.16981132075472;48.07692307692308;48.07692307692308;49.01960784313726;49.01960784313726;50.0;50.0;50.0
Pieza_12_foto0686;12;686;56;56;56;56;56;55;55;55;56;56;56;56;56;56;56;55;55;55;55;55;55;55;54;54;54;53;53;53;53;53;53;53;53;52;52;52;52;51;51;51;51;51;51;51;52;52;52;54;65;65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.984615384615385;4.984615384615385
Pieza_12_foto0702;12;702;67;67;67;64;63;63;63;63;63;63;62;62;62;63;63;63;63;62;62;62;62;62;62;62;62;61;61;61;61;60;60;60;60;60;60;59;59;58;58;58;58;58;58;58;59;59;59;59;58;58;0.23880597014925373;0.23880597014925373;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_12_foto0719;12;719;63;63;63;63;63;63;63;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;61;60;60;60;60;60;60;60;58;58;58;58;58;58;58;57;56;56;56;56;56;55;55;39.682539682539684;39.682539682539684;39.682539682539684;39.682539682539684;39.682539682539684;39.682539682539684;39.682539682539684;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.98360655737705;41.666666666666664;41.666666666666664;41.666666666666664;41.666666666666664;41.666666666666664;41.666666666666664;41.666666666666664;43.10344827586207;43.10344827586207;43.10344827586207;43.10344827586207;43.10344827586207;43.10344827586207;43.10344827586207;43.85964912280702;44.642857142857146;44.642857142857146;44.642857142857146;44.642857142857146;44.642857142857146;45.45454545454545;45.45454545454545
Pieza_12_foto0737;12;737;51;51;51;51;51;51;51;51;54;57;58;58;58;58;58;58;57;56;56;56;56;58;61;61;61;61;61;59;58;58;58;58;58;59;59;61;62;62;62;63;63;63;63;64;64;64;64;64;62;62;49.01960784313726;49.01960784313726;49.01960784313726;49.01960784313726;49.01960784313726;49.01960784313726;49.01960784313726;49.01960784313726;46.2962962962963;43.85964912280702;43.10344827586207;43.10344827586207;43.10344827586207;43.10344827586207;43.10344827586207;43.10344827586207;43.85964912280702;44.642857142857146;44.642857142857146;44.642857142857146;44.642857142857146;43.10344827586207;40.98360655737705;40.98360655737705;40.98360655737705;40.98360655737705;40.98360655737705;42.3728813559322;43.10344827586207;43.10344827586207;43.10344827586207;43.10344827586207;43.10344827586207;42.3728813559322;42.3728813559322;40.98360655737705;40.32258064516129;40.32258064516129;40.32258064516129;39.682539682539684;39.682539682539684;39.682539682539684;39.682539682539684;39.0625;39.0625;39.0625;39.0625;39.0625;40.32258064516129;40.32258064516129
