img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30;pw_31;pw_32;pw_33;pw_34;pw_35;pw_36;pw_37;pw_38;pw_39;pw_40;pw_41;pw_42;pw_43;pw_44;pw_45;pw_46;pw_47;pw_48;pw_49;pw_50;pw_51;pw_52;pw_53;pw_54;pw_55;pw_56;pw_57;pw_58;pw_59;pw_60;pw_61;pw_62;pw_63;pw_64;pw_65;pw_66;pw_67;pw_68;pw_69;pw_70
Pieza_05_foto187;5;187;88.28125;88.28125;78.3984375;18.2421875;17.8125;17.8125;17.8125;45.3515625;55.78125;55.78125;72.9296875;89.6875;100.0;100.0;100.0;100.0;38.359375;30.0;21.953125;13.90625;13.90625;13.90625;22.1484375;43.515625;52.96875;52.96875;52.96875;43.90625;39.84375;39.84375;39.84375;39.84375;9.9609375;0.0;0.0;100.0;100.0;100.0;84.53125;84.0625;84.0625;84.0625;84.0625;84.0625;84.0625;72.734375;66.953125;69.21875;69.21875;69.21875;69.296875;57.6953125;62.5;62.5;62.5;62.5;62.34375;62.34375;62.34375;62.34375;64.8828125;66.40625;66.40625;66.40625;63.1640625;53.4375;53.4375;53.4375;53.4375;53.4375
Pieza_05_foto19;5;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.666666666666666;72.65625;72.65625;72.65625;72.65625;72.65625;72.65625;72.65625;72.65625;77.76041666666667;97.34375;100.0;100.0;100.0;100.0;100.0;85.41666666666667;61.770833333333336;59.53125;57.916666666666664;54.6875;54.6875;54.6875;54.6875;54.6875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20833333333333334;72.70833333333333;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;69.375;35.0;35.0;35.0;35.0;35.0;30.572916666666668;21.71875;21.71875;21.71875;21.71875;21.71875
Pieza_05_foto193;5;193;53.59375;53.59375;43.4375;39.5;26.265625;5.796875;18.578125;27.65625;16.609375;14.9375;28.28125;17.0625;8.734375;8.90625;9.21875;6.453125;0.0;0.0;18.53125;55.78125;30.421875;0.0;0.0;0.0;47.328125;100.0;47.515625;0.0;0.0;0.0;51.265625;100.0;45.640625;19.375;19.375;0.0;0.0;5.015625;35.390625;60.109375;39.125;11.28125;12.96875;0.0;0.0;0.0;27.015625;100.0;100.0;100.0;38.1875;0.0;0.0;37.34375;60.78125;59.6875;40.609375;0.0;0.0;62.546875;100.0;29.796875;0.0;0.0;5.515625;44.484375;100.0;81.875;50.78125;50.78125
Pieza_05_foto194;5;194;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.484375;71.875;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;87.96875;56.953125;55.9375;55.9375;55.9375;55.9375;55.9375;55.9375;55.9375;55.9375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.515625;62.1875;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_05_foto195;5;195;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.76171875;6.484375;6.5625;15.5078125;41.4453125;42.20703125;27.8125;6.5625;0.0;9.0625;22.65625;19.4921875;25.83984375;51.9140625;46.1328125;17.3046875;0.0;6.09375;34.90234375;47.8125;47.8125;54.8828125;76.09375;74.7265625;33.57421875;26.62109375;32.1875;18.5546875;0.0;0.0;0.0;14.94140625;57.16796875;62.0703125;62.34375;63.515625;69.6875;69.6875;63.9453125;55.05859375;72.7734375;96.62109375;87.0703125;64.51171875;50.9375;50.625;61.7578125;68.4375;68.4375;81.5625;91.71875;91.484375;91.25;94.53125;100.0;100.0;100.0;100.0;100.0;81.42578125;39.78515625;16.5625;12.65625
Pieza_05_foto196;5;196;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.15625;28.958333333333332;49.427083333333336;61.458333333333336;84.6875;84.6875;84.6875;84.6875;84.6875;84.6875;84.6875;84.6875;84.6875;100.0;100.0;100.0;100.0;100.0;100.0;100.0;90.26041666666667;90.0;90.0;90.0;90.0;90.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.708333333333332;53.90625;53.90625;53.90625;74.79166666666667;75.46875;75.46875;75.46875;75.46875;90.57291666666667;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;96.82291666666667;76.19791666666667;70.46875
Pieza_05_foto197;5;197;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.81640625;14.70703125;14.84375;7.8125;3.59375;3.59375;12.55859375;15.546875;20.8984375;52.55859375;71.71875;90.21484375;72.87109375;62.1875;62.1875;51.62109375;16.81640625;15.625;22.9296875;27.5;19.53125;3.75;11.953125;16.875;12.65625;0.0;0.0;0.0;22.12890625;25.625;29.921875;56.25;62.6953125;78.73046875;71.40625;86.171875;94.140625;100.0;100.0;100.0;100.0;100.0;90.05859375;72.96875;72.96875;86.3671875;100.0;96.9921875;87.96875;89.47265625;100.0;100.0;57.3828125;38.28125;63.984375;90.46875;80.078125;48.90625;48.90625;48.90625
Pieza_05_foto198;5;198;63.75;63.75;63.75;63.75;63.75;63.75;63.75;63.75;63.75;63.75;63.75;63.75;63.75;63.75;63.75;74.921875;90.9375;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;94.375;88.75;88.75;88.75;88.75;88.75;88.75;88.75;88.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.78125;11.875;12.578125;13.28125;13.90625;33.359375;74.453125;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_05_foto201;5;201;72.96875;72.96875;72.96875;72.96875;72.96875;72.96875;81.9140625;100.0;100.0;100.0;90.859375;8.90625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.734375;45.3125;45.3125;45.3125;27.1484375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;88.125;88.125;88.125;88.125;92.6953125;95.0;96.25;100.0;100.0;100.0;100.0;90.1171875;46.640625;14.21875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.25;49.921875;52.03125;52.03125;50.859375;47.34375;47.34375;47.34375;47.34375;49.84375;49.84375;49.84375
Pieza_05_foto202;5;202;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.75;13.75;13.75;13.75;13.75;13.75;13.75;13.75;13.515625;3.28125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;90.625;90.625;90.625;90.625;90.625;90.625;81.71875;58.28125;31.71875;13.984375;7.5;7.5;7.5;7.5;7.5;14.453125;54.140625;66.484375;82.8125;90.0;90.0;90.0;90.0;90.0;84.609375;52.734375;29.453125;17.65625;17.65625;17.65625;17.65625;17.65625;17.65625;17.65625;17.65625
