img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10
Pieza_01_foto460;1;460;0.0;24.70394736842105;72.65625;78.125;100.0;0.0;48.75822368421053;89.07894736842105;100.0;100.0
Pieza_01_foto461;1;461;0.0;0.0;73.21180555555556;100.0;100.0;0.0;30.303819444444443;92.95138888888889;86.73611111111111;100.0
Pieza_01_foto480;1;480;100.0;52.33173076923077;7.2235576923076925;0.0;0.0;100.0;44.138621794871796;14.443108974358974;18.485576923076923;8.862179487179487
Pieza_01_foto481;1;481;100.0;100.0;80.25493421052632;8.297697368421053;0.0;100.0;100.0;98.13322368421052;33.21546052631579;0.8799342105263158
Pieza_01_foto503;1;503;0.0;5.538194444444445;86.85763888888889;87.890625;85.46875;17.34375;51.84027777777778;100.0;100.0;100.0
Pieza_01_foto504;1;504;0.0;2.55859375;79.9609375;100.0;100.0;0.0;24.208984375;100.0;100.0;100.0
Pieza_01_foto521;1;521;100.0;100.0;82.36979166666667;10.789930555555555;0.0;100.0;100.0;80.98958333333333;7.595486111111111;0.0
Pieza_01_foto522;1;522;100.0;100.0;98.33984375;24.736328125;0.0;100.0;100.0;98.828125;29.306640625;5.791015625
Pieza_01_foto545;1;545;0.0;35.27529761904762;80.75892857142857;100.0;100.0;0.0;39.947916666666664;77.46279761904762;100.0;100.0
Pieza_01_foto549;1;549;0.0;0.0;0.0;0.0;0.0;43.42261904761905;33.51190476190476;51.267857142857146;9.083333333333334;0.0
Pieza_01_foto550;1;550;58.074074074074076;34.85956790123457;27.807098765432098;24.132716049382715;18.40895061728395;83.48148148148148;67.1358024691358;41.68055555555556;6.992283950617284;33.742283950617285
Pieza_01_foto565;1;565;1.9375;59.87171052631579;59.75;70.24342105263158;50.723684210526315;0.0;46.911184210526315;51.88157894736842;84.56907894736842;47.01973684210526
Pieza_01_foto566;1;566;32.6455223880597;90.6044776119403;90.20149253731343;70.12126865671642;48.38059701492537;7.257462686567164;75.98694029850746;93.92537313432835;30.67910447761194;32.51119402985075
Pieza_01_foto604;1;604;0.0;44.875;73.76612903225806;84.0524193548387;89.47177419354838;0.0;28.366935483870968;100.0;100.0;100.0
Pieza_01_foto605;1;605;28.944767441860463;75.0421511627907;50.25436046511628;41.58139534883721;32.84593023255814;31.65988372093023;93.16569767441861;54.02761627906977;35.86773255813954;18.219476744186046
Pieza_01_foto621;1;621;51.848958333333336;62.041666666666664;54.177083333333336;21.578125;28.515625;42.380208333333336;83.75;68.83854166666667;77.70833333333333;87.625
Pieza_01_foto638;1;638;0.7338709677419355;37.278225806451616;50.766129032258064;30.205645161290324;0.0;0.0;25.39516129032258;81.29032258064517;80.41935483870968;72.26209677419355
Pieza_01_foto76;1;76;100.0;100.0;94.86111111111111;12.022569444444445;0.0;100.0;100.0;100.0;49.895833333333336;0.0
Pieza_01_foto77;1;77;100.0;100.0;98.75868055555556;10.616319444444445;0.0;100.0;100.0;100.0;34.973958333333336;0.0
Pieza_01_foto98;1;98;0.0;13.932291666666666;95.26041666666667;88.22916666666667;97.32638888888889;0.0;0.008680555555555556;72.96006944444444;100.0;100.0
Pieza_01_foto99;1;99;0.0;17.483258928571427;0.0;76.97544642857143;100.0;0.0;0.0;0.0;48.7890625;91.55691964285714
Pieza_02_foto0;2;0;0.0;62.411684782608695;94.1100543478261;100.0;100.0;0.0;47.53396739130435;76.15489130434783;100.0;100.0
Pieza_02_foto106;2;106;100.0;100.0;70.7154605263158;17.98519736842105;0.0;100.0;100.0;65.07401315789474;3.75;0.0
Pieza_02_foto107;2;107;100.0;100.0;98.17434210526316;16.85855263157895;0.0;100.0;100.0;93.87335526315789;38.536184210526315;0.0
