img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30
Pieza_03_foto596;3;596;0.0;0.0;2.890625;12.3828125;30.46875;46.40625;46.40625;46.40625;46.40625;15.78125;9.375;9.375;9.375;9.375;9.375;0.0;0.0;7.1484375;50.78125;67.5;67.5;67.5;64.21875;54.6484375;42.03125;42.03125;40.1171875;34.375;34.375;34.375
Pieza_03_foto60;3;60;0.0;0.0;0.0;0.0;0.0;0.0;18.359375;45.677083333333336;75.72916666666667;88.4375;88.4375;88.17708333333333;86.875;86.875;86.875;0.0;0.0;0.0;0.0;2.2395833333333335;43.90625;81.27604166666667;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_03_foto61;3;61;0.0;0.0;0.0;0.0;1.38671875;14.84375;49.7265625;78.125;100.0;86.5234375;73.4375;73.4375;65.46875;77.8515625;80.0;0.0;0.0;1.66015625;48.7890625;82.34375;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_03_foto74;3;74;6.5625;6.5625;14.330357142857142;39.84375;48.28125;48.28125;81.98660714285714;100.0;92.5;80.9375;76.18303571428571;57.1875;57.1875;62.36607142857143;80.84821428571429;58.75;58.75;44.84375;33.57142857142857;29.0625;55.424107142857146;72.5;76.5625;79.53125;79.53125;85.98214285714286;100.0;100.0;100.0;100.0
Pieza_03_foto75;3;75;0.0;0.0;0.0;0.5902777777777778;8.854166666666666;33.263888888888886;63.55902777777778;76.52777777777777;100.0;86.64930555555556;30.104166666666668;29.6875;34.270833333333336;18.4375;40.885416666666664;0.0;0.0;0.0;34.30555555555556;94.75694444444444;100.0;79.84375;67.44791666666667;63.90625;64.63541666666667;66.09375;80.9375;80.90277777777777;64.0625;34.84375
Pieza_03_foto86;3;86;0.0;0.0;0.0;15.982142857142858;40.625;76.20535714285714;92.8125;89.73214285714286;89.21875;89.21875;83.59375;64.28571428571429;50.0;57.611607142857146;63.125;0.0;0.0;0.0;23.973214285714285;43.4375;43.080357142857146;59.330357142857146;55.15625;55.75892857142857;80.08928571428571;86.875;87.27678571428571;88.28125;88.28125;88.28125
Pieza_03_foto87;3;87;0.0;0.0;0.0;26.38888888888889;56.80555555555556;87.77777777777777;74.60069444444444;42.986111111111114;37.34375;41.701388888888886;54.09722222222222;43.697916666666664;3.454861111111111;0.0;0.0;0.0;0.0;0.0;62.5;71.26736111111111;30.17361111111111;3.9583333333333335;5.78125;11.944444444444445;12.8125;4.114583333333333;0.0;0.0;0.0;11.5625
Pieza_03_foto94;3;94;0.0;0.0;2.359375;51.34375;60.9375;40.9375;38.890625;54.125;60.875;32.96875;24.015625;73.359375;90.703125;85.625;83.046875;0.0;0.0;0.0;5.015625;41.1875;77.453125;82.34375;77.09375;73.59375;73.875;74.78125;75.0;77.03125;88.140625;88.28125
Pieza_03_foto99;3;99;0.0;0.0;0.03125;9.90625;39.875;67.421875;54.75;50.96875;50.015625;50.3125;73.890625;85.3125;98.53125;100.0;100.0;0.0;0.0;35.078125;60.0625;54.171875;82.1875;84.265625;77.96875;43.5;31.71875;33.859375;58.96875;59.0625;59.0625;71.796875
Pieza_04_foto105;4;105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.09375;21.0;20.625;20.625;26.125;27.5;51.34375;52.1875;52.1875;43.53125;21.4375;7.0625;0.0;0.0;0.0
Pieza_04_foto106;4;106;0.0;3.9713541666666665;24.84375;40.065104166666664;35.572916666666664;56.770833333333336;70.83333333333333;57.565104166666664;58.3984375;67.2265625;46.5234375;47.669270833333336;35.78125;35.5078125;35.3125;28.28125;28.046875;4.895833333333333;27.7734375;58.424479166666664;52.578125;60.390625;56.549479166666664;69.71354166666667;85.15625;73.6328125;38.3984375;2.734375;0.0;0.0
Pieza_04_foto11;4;11;0.0;0.0;0.0;10.7421875;25.78125;25.78125;25.78125;29.78515625;32.1875;34.00390625;53.4375;58.90625;63.984375;67.03125;67.03125;0.0;0.0;0.0;0.48828125;6.25;6.25;17.87109375;45.9375;45.9375;54.19921875;67.96875;67.20703125;51.5234375;47.5;47.5
Pieza_04_foto116;4;116;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.140625;23.3203125;27.890625;31.25;31.25;31.25;31.25;24.375;13.4375
Pieza_04_foto12;4;12;0.0;0.0;0.0;2.8125;2.6041666666666665;0.0;23.15972222222222;46.59722222222222;57.1875;55.954861111111114;28.29861111111111;2.1875;0.0;0.0;0.0;0.0;0.0;0.0;22.899305555555557;51.96180555555556;48.36805555555556;39.583333333333336;39.13194444444444;30.208333333333332;33.15972222222222;54.75694444444444;52.517361111111114;8.628472222222221;0.0;0.0
Pieza_04_foto130;4;130;33.426339285714285;25.412946428571427;34.497767857142854;43.013392857142854;45.613839285714285;16.127232142857142;12.388392857142858;62.388392857142854;36.863839285714285;15.3125;15.3125;37.645089285714285;96.41741071428571;21.417410714285715;0.0;0.0;3.8839285714285716;60.825892857142854;77.47767857142857;86.94196428571429;92.31026785714286;83.59375;78.41517857142857;40.29017857142857;21.517857142857142;20.066964285714285;82.08705357142857;47.20982142857143;0.0;0.0
Pieza_04_foto131;4;131;0.0;2.8515625;23.671875;35.234375;47.109375;51.09375;51.09375;51.09375;50.078125;33.90625;30.546875;4.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_04_foto143;4;143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.4140625;19.21875;19.21875;19.21875;19.21875;21.25;21.25;21.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_04_foto154;4;154;40.0;40.0;40.0;40.0;49.125;54.46875;70.0;70.0;70.0;70.0;54.34375;57.78125;72.5;73.75;80.78125;100.0;100.0;100.0;100.0;94.53125;79.71875;71.625;60.9375;51.0625;30.71875;0.0;0.0;0.0;0.0;1.96875
Pieza_04_foto155;4;155;9.53125;29.679276315789473;41.5296052631579;36.192434210526315;37.65625;45.46875;61.32401315789474;50.60032894736842;37.03125;34.85197368421053;49.05427631578947;36.932565789473685;88.3717105263158;100.0;100.0;21.71875;7.03125;4.8930921052631575;34.2516447368421;82.65625;92.4342105263158;93.13322368421052;85.13157894736842;56.33223684210526;19.62171052631579;45.2796052631579;63.10032894736842;80.87993421052632;98.63486842105263;93.28125
Pieza_04_foto168;4;168;19.375;19.375;24.0234375;44.78515625;44.58984375;17.48046875;0.0;0.0;0.0;0.0;58.69140625;69.21875;39.4140625;16.09375;16.09375;0.0;0.0;11.15234375;20.5078125;44.5703125;41.03515625;7.83203125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_04_foto179;4;179;35.625;35.625;35.078125;33.4375;31.484375;28.671875;34.6875;29.21875;27.03125;26.484375;26.015625;18.7890625;16.640625;16.5625;16.015625;22.5;22.5;22.5;22.5;22.734375;34.1015625;52.734375;41.4453125;41.2890625;40.4296875;19.296875;14.140625;30.0;32.5390625;32.1875
Pieza_04_foto182;4;182;12.65625;13.73798076923077;25.44471153846154;44.72355769230769;73.76201923076923;97.23557692307692;94.73557692307692;80.10817307692308;89.00240384615384;82.59615384615384;71.50240384615384;69.53125;79.50721153846153;95.625;100.0;0.0;0.0;14.939903846153847;40.09615384615385;45.38461538461539;63.79807692307692;55.57692307692308;52.66826923076923;45.625;62.30769230769231;79.29086538461539;87.3798076923077;100.0;100.0;85.28846153846153
Pieza_04_foto183;4;183;82.8125;82.8125;82.8125;85.0;90.625;90.625;91.484375;70.02604166666667;39.84375;40.052083333333336;40.364583333333336;37.682291666666664;33.958333333333336;32.96875;32.96875;93.59375;93.59375;93.59375;89.16666666666667;80.3125;80.26041666666667;80.0;75.83333333333333;61.276041666666664;75.67708333333333;76.69270833333333;76.45833333333333;70.36458333333333;70.15625;70.15625
Pieza_04_foto33;4;33;0.0;0.0;0.0;0.0;0.0;10.6875;24.8125;36.40625;46.71875;35.09375;26.96875;20.875;10.46875;10.46875;11.84375;0.0;0.0;0.0;0.0;0.0;37.25;46.875;46.875;52.15625;29.71875;17.96875;17.96875;12.34375;0.0;14.53125
Pieza_04_foto34;4;34;0.0;0.0;0.0;0.0;0.0;0.0;5.9375;17.34375;17.34375;17.34375;17.34375;17.34375;17.34375;17.34375;31.640625;0.0;0.0;0.0;0.0;0.0;0.0;15.703125;26.4453125;30.15625;30.46875;28.2421875;21.5625;21.5625;21.5625;24.0625
Pieza_04_foto56;4;56;16.09375;16.09375;16.09375;2.2395833333333335;0.0;1.640625;3.28125;4.375;5.46875;5.46875;1.8229166666666667;0.0;0.0;0.0;0.0;34.53125;34.53125;34.53125;34.53125;34.53125;49.505208333333336;60.46875;60.46875;59.427083333333336;58.90625;39.21875;29.84375;29.84375;29.84375;29.84375
Pieza_04_foto57;4;57;37.21875;6.5;0.0;1.359375;41.71875;63.59375;27.21875;0.0;3.03125;35.265625;43.671875;47.5;12.484375;0.0;0.0;0.0;0.0;1.578125;51.625;70.15625;45.96875;36.40625;36.40625;28.28125;30.234375;59.53125;28.390625;0.0;0.0;0.0
Pieza_05_foto0;5;0;0.0;0.0;0.0;0.0;11.375;30.5;32.34375;32.15625;28.28125;14.90625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.40625;50.3125;100.0;100.0;93.71875;49.875;32.5;32.5;26.28125;5.625
Pieza_05_foto10;5;10;24.375;24.375;24.375;24.375;24.375;31.15625;60.625;100.0;100.0;100.0;62.65625;41.71875;41.71875;41.71875;41.71875;87.1875;87.1875;87.1875;87.1875;87.1875;92.3125;100.0;100.0;100.0;100.0;84.59375;56.71875;56.71875;56.71875;56.71875
Pieza_05_foto101;5;101;0.0;0.0;0.0;0.0;0.0;37.265625;42.34375;42.5;32.760416666666664;30.78125;30.104166666666668;21.041666666666668;7.1875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_05_foto102;5;102;0.0;0.0;4.201388888888889;32.34375;49.166666666666664;47.1875;32.864583333333336;22.447916666666668;65.34722222222223;88.75;88.71527777777777;72.72569444444444;5.138888888888889;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4756944444444444;62.96875;84.20138888888889;60.24305555555556;57.204861111111114;8.368055555555555;0.0;0.0;0.0
Pieza_05_foto103;5;103;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.0;34.09375;30.46875;30.46875;30.46875;37.8125;52.8125;52.8125;52.8125;36.34375;17.8125;9.15625;0.0;0.0;0.0
Pieza_05_foto104;5;104;0.0;0.0;0.0;2.9464285714285716;20.625;20.625;10.200892857142858;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.15625;20.15625;21.584821428571427;30.15625;48.72767857142857;47.34375;43.013392857142854;19.84375;19.375;27.366071428571427;62.254464285714285;68.125;48.90625;4.508928571428571;0.0
Pieza_05_foto105;5;105;0.0;0.0;0.0;8.258928571428571;32.96875;32.96875;22.96875;13.59375;48.638392857142854;85.64732142857143;100.0;54.732142857142854;2.9910714285714284;0.0;0.0;0.0;0.0;0.0;9.285714285714286;16.25;16.25;16.25;23.214285714285715;96.27232142857143;100.0;82.09821428571429;54.21875;54.21875;54.21875;54.21875
Pieza_05_foto106;5;106;71.09375;71.09375;80.22321428571429;88.75;88.75;85.82589285714286;52.8125;34.910714285714285;43.125;43.125;43.125;38.839285714285715;23.348214285714285;0.0;0.0;5.9375;5.9375;5.9375;6.741071428571429;7.34375;7.053571428571429;0.33482142857142855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_05_foto11;5;11;0.0;0.0;4.930555555555555;99.42708333333333;98.24652777777777;1.0243055555555556;0.0;0.0;0.0;0.0;4.496527777777778;25.3125;23.541666666666668;0.0;0.0;56.71875;56.71875;56.71875;88.35069444444444;100.0;80.27777777777777;72.8125;12.586805555555555;0.0;0.0;1.3715277777777777;4.375;10.208333333333334;16.875;16.875
Pieza_05_foto110;5;110;0.0;0.0;0.0;0.0;0.0;24.0;52.375;93.875;100.0;100.0;100.0;96.4375;88.78125;49.5;4.0;55.9375;55.9375;55.9375;62.3125;84.0625;100.0;100.0;81.375;35.1875;11.96875;9.53125;2.625;0.0;0.0;0.0
Pieza_05_foto111;5;111;100.0;100.0;100.0;100.0;100.0;100.0;74.21875;38.482142857142854;36.25;36.25;36.205357142857146;8.683035714285714;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;81.33928571428571;52.34375;52.34375;77.16517857142857;82.8125;35.379464285714285;19.53125;28.459821428571427;45.066964285714285
Pieza_05_foto112;5;112;100.0;100.0;45.40625;38.75;88.8125;100.0;76.234375;74.921875;85.625;71.59375;49.953125;43.421875;5.984375;0.0;0.0;62.03125;62.03125;70.328125;84.53125;91.734375;87.96875;87.96875;73.21875;51.140625;31.265625;10.109375;0.34375;0.0;0.0;0.0
Pieza_05_foto113;5;113;18.59375;35.424107142857146;70.51339285714286;46.77455357142857;56.551339285714285;33.660714285714285;27.890625;0.0;0.0;0.0;0.0;2.0424107142857144;14.84375;2.1205357142857144;0.0;65.15625;28.069196428571427;4.821428571428571;32.03125;100.0;34.375;30.267857142857142;0.9933035714285714;0.0;1.9754464285714286;82.734375;62.47767857142857;57.1875;39.140625;0.0
Pieza_05_foto114;5;114;0.0;0.0;0.0;0.0;0.0;0.0;26.875;94.50520833333333;100.0;80.26041666666667;55.46875;55.46875;55.46875;55.46875;55.46875;0.0;0.0;0.0;0.0;25.78125;64.47916666666667;97.63020833333333;83.4375;40.416666666666664;1.2760416666666667;0.0;0.0;0.0;0.0;0.0
Pieza_05_foto115;5;115;82.03125;53.96484375;28.984375;100.0;96.640625;89.08203125;45.908203125;18.6328125;23.515625;25.37109375;44.2578125;0.0;0.0;0.0;0.0;67.34375;58.623046875;77.3828125;100.0;98.8671875;96.318359375;92.1875;73.84765625;89.521484375;51.435546875;40.9375;27.763671875;25.9765625;63.525390625;1.826171875
Pieza_05_foto117;5;117;100.0;100.0;100.0;100.0;100.0;100.0;100.0;67.85714285714286;17.700892857142858;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;91.74107142857143;84.17410714285714;73.14732142857143;45.3125;27.34375;0.0;0.0;0.0
