img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30;pw_31;pw_32;pw_33;pw_34;pw_35;pw_36;pw_37;pw_38;pw_39;pw_40;pw_41;pw_42;pw_43;pw_44;pw_45;pw_46;pw_47;pw_48;pw_49;pw_50;pw_51;pw_52;pw_53;pw_54;pw_55;pw_56;pw_57;pw_58;pw_59;pw_60;pw_61;pw_62;pw_63;pw_64;pw_65;pw_66;pw_67;pw_68;pw_69;pw_70;pw_71;pw_72;pw_73;pw_74;pw_75
Pieza_13_foto301;13;301;0.0;0.0;15.9375;39.84375;38.8671875;33.9453125;0.0;0.0;0.0;0.0;8.3203125;27.734375;13.3203125;0.0;0.0;0.0;0.0;24.4140625;100.0;66.09375;4.21875;0.0;14.4140625;71.171875;92.1875;95.15625;100.0;60.7421875;0.0;0.0;0.0;0.0;0.46875;60.703125;100.0;73.359375;59.6875;93.9453125;100.0;65.625;65.625;86.25;90.859375;26.9921875;13.671875;0.0;0.0;0.0;28.5546875;100.0;96.953125;94.921875;76.171875;74.3359375;100.0;100.0;63.75;58.984375;57.9296875;56.640625;0.0;0.0;0.0;0.0;88.515625;100.0;100.0;92.0703125;53.125;53.125;100.0;100.0;100.0;100.0;100.0
Pieza_13_foto302;13;302;0.0;0.0;0.0;0.0;35.7421875;73.4375;73.4375;41.666666666666664;0.0;0.0;0.0;12.109375;12.109375;12.109375;12.109375;0.0;0.0;0.0;0.0;4.557291666666667;61.848958333333336;100.0;98.95833333333333;87.23958333333333;78.515625;78.515625;93.1640625;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;10.221354166666666;95.24739583333333;100.0;100.0;13.8671875;9.375;12.5;52.408854166666664;55.078125;55.078125;0.0;0.0;0.0;0.0;0.0;0.0;34.049479166666664;99.08854166666667;100.0;100.0;100.0;100.0;73.30729166666667;67.96875;67.96875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.671875;95.96354166666667;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_13_foto31;13;31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.78125;82.8125;100.0;100.0;93.046875;33.4375;20.3125;20.3125;0.0;0.0;0.0;0.0;0.0;0.0;12.109375;86.5625;100.0;100.0;73.515625;24.21875;20.703125;20.703125;20.703125;0.0;0.0;0.0;0.0;0.0;0.0;50.3125;100.0;100.0;100.0;93.203125;88.671875;86.796875;83.984375;83.984375;0.0;0.0;0.0;0.0;0.0;0.0;33.59375;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.078125;79.21875;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_13_foto313;13;313;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.7018229166666665;80.59895833333333;89.0625;73.99088541666667;50.0;50.0;66.89453125;67.48046875;22.916666666666668;0.0;4.98046875;45.182291666666664;68.359375;68.359375;0.0;0.0;57.51953125;100.0;100.0;100.0;100.0;100.0;100.0;97.94921875;75.390625;8.7890625;0.0;15.950520833333334;38.28125;0.0;0.0;7.584635416666667;28.7109375;95.34505208333333;96.74479166666667;80.46875;80.46875;98.828125;87.23958333333333;62.109375;44.82421875;32.747395833333336;2.9622395833333335;0.0;0.0;0.0;0.0;71.38671875;100.0;97.81901041666667;84.375;64.453125;4.1015625;0.0;26.7578125;58.138020833333336;60.546875;19.62890625;0.0
Pieza_13_foto314;13;314;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7378472222222222;6.640625;5.859375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.244791666666664;59.765625;31.640625;32.204861111111114;37.15277777777778;90.97222222222223;100.0;33.24652777777778;28.125;0.0;0.0;12.065972222222221;72.65625;69.27083333333333;62.5;82.85590277777777;100.0;74.56597222222223;71.875;71.875;87.5;100.0;100.0;100.0;0.0;0.0;0.0;78.03819444444444;100.0;100.0;100.0;100.0;100.0;98.91493055555556;98.046875;98.046875;27.473958333333332;24.21875;49.21875;0.0;0.0;0.0;22.916666666666668;100.0;100.0;100.0;100.0;100.0;65.58159722222223;0.0;0.0;5.425347222222222;89.67013888888889;100.0
Pieza_13_foto32;13;32;0.0;0.0;0.0;0.0;0.0;82.48697916666667;100.0;100.0;22.981770833333332;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;92.05729166666667;100.0;100.0;80.078125;80.078125;80.078125;80.078125;4.947916666666667;0.0;0.0;0.0;0.0;0.0;0.0;7.8125;100.0;100.0;100.0;100.0;100.0;100.0;100.0;96.875;95.18229166666667;91.796875;0.0;0.0;0.0;0.0;12.174479166666666;100.0;100.0;100.0;100.0;100.0;100.0;89.84375;34.375;29.947916666666668;25.0;0.0;0.0;0.0;0.0;31.380208333333332;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_13_foto324;13;324;0.0;0.0;4.557291666666667;41.015625;36.154513888888886;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.251736111111111;100.0;99.30555555555556;93.75;93.75;93.75;70.48611111111111;51.953125;51.953125;56.59722222222222;77.43055555555556;78.125;36.80555555555556;0.0;0.0;0.043402777777777776;64.58333333333333;100.0;93.22916666666667;69.53125;69.53125;69.53125;69.53125;96.61458333333333;100.0;100.0;96.18055555555556;91.40625;0.0;0.0;0.0;20.09548611111111;100.0;97.82986111111111;90.234375;90.234375;90.234375;90.234375;98.91493055555556;100.0;75.78125;15.190972222222221;0.0;0.0;0.0;0.0;1.6927083333333333;72.22222222222223;100.0;100.0;100.0;100.0;100.0;100.0;100.0;91.66666666666667;49.609375;49.609375
Pieza_13_foto325;13;325;0.0;3.0222039473684212;60.176809210526315;7.421875;10.978618421052632;20.94983552631579;41.2828947368421;8.100328947368421;11.307565789473685;0.47286184210526316;0.0;0.0;15.37828947368421;1.377467105263158;0.0;0.0;14.412006578947368;97.71792763157895;100.0;100.0;100.0;100.0;68.54440789473684;67.39309210526316;53.37171052631579;52.87828947368421;43.75;55.94161184210526;7.894736842105263;28.90625;0.0;40.234375;100.0;100.0;100.0;100.0;100.0;88.07565789473684;13.342927631578947;41.776315789473685;75.86348684210526;0.78125;24.46546052631579;5.838815789473684;0.0;0.0;22.738486842105264;100.0;100.0;100.0;100.0;77.42598684210526;54.54358552631579;6.949013157894737;32.401315789473685;84.43667763157895;25.53453947368421;56.94901315789474;46.05263157894737;0.0;0.0;2.549342105263158;92.29029605263158;100.0;100.0;100.0;64.74095394736842;86.98601973684211;61.82154605263158;71.93667763157895;95.47697368421052;59.16940789473684;39.14473684210526;49.71217105263158;0.0
Pieza_13_foto335;13;335;0.0;25.911458333333332;67.34375;73.61979166666667;34.765625;95.65104166666667;100.0;88.64583333333333;44.401041666666664;17.395833333333332;21.927083333333332;29.348958333333332;8.203125;12.630208333333334;49.6875;0.0;25.677083333333332;100.0;100.0;100.0;100.0;100.0;93.828125;68.88020833333333;67.47395833333333;51.5625;87.83854166666667;99.50520833333333;45.416666666666664;38.671875;0.0;4.244791666666667;100.0;100.0;100.0;100.0;100.0;67.96875;30.78125;37.890625;39.453125;38.385416666666664;80.20833333333333;14.557291666666666;0.0;0.0;0.0;89.66145833333333;100.0;100.0;100.0;100.0;100.0;100.0;84.50520833333333;38.776041666666664;6.09375;0.0;0.0;0.0;0.0;0.0;20.15625;97.63020833333333;100.0;100.0;100.0;86.875;77.5;100.0;81.22395833333333;41.536458333333336;62.369791666666664;48.177083333333336;41.015625
Pieza_13_foto336;13;336;0.0;0.0;0.9375;95.6640625;92.8125;28.125;16.5625;0.0;0.0;0.0;44.6484375;75.390625;51.171875;42.890625;32.421875;0.0;0.0;3.28125;83.1640625;100.0;100.0;98.7109375;95.703125;95.703125;95.703125;97.8515625;100.0;100.0;92.890625;64.453125;0.0;0.0;0.0;67.6171875;100.0;100.0;100.0;100.0;100.0;98.359375;91.796875;89.84375;79.7265625;60.546875;60.546875;0.0;0.0;0.0;19.7265625;100.0;100.0;100.0;100.0;95.9375;70.546875;0.0;0.0;0.0;37.421875;48.125;0.0;0.0;0.0;1.2890625;51.875;100.0;100.0;100.0;96.40625;82.03125;70.078125;64.6875;50.390625;70.078125;75.0
