img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30;pw_31;pw_32;pw_33;pw_34;pw_35;pw_36;pw_37;pw_38;pw_39;pw_40;pw_41;pw_42;pw_43;pw_44;pw_45;pw_46;pw_47;pw_48;pw_49;pw_50
Pieza_13_foto127;13;127;0.0;0.0;0.0;0.0;5.182291666666667;64.42708333333333;82.65625;82.65625;72.52604166666667;51.822916666666664;50.3125;45.520833333333336;43.4375;43.4375;37.786458333333336;24.6875;37.1875;40.104166666666664;37.1875;14.348958333333334;13.072916666666666;21.09375;21.09375;22.239583333333332;32.630208333333336;0.0;0.0;0.0;0.0;0.0;28.098958333333332;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;93.359375;86.71875;85.15625;83.59375;83.59375;75.0;70.9375;70.9375;64.86979166666667;48.75
Pieza_13_foto128;13;128;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.1875;42.291666666666664;95.78125;100.0;100.0;100.0;100.0;100.0;80.9375;80.9375;80.9375;80.9375;80.9375;71.40625;52.34375;52.34375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.65625;11.875;12.65625;12.65625;61.770833333333336;70.88541666666667;79.79166666666667;84.73958333333333;93.59375;100.0;96.09375;88.28125;88.28125;88.28125
Pieza_13_foto137;13;137;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.59375;21.5;24.375;29.5;36.40625;80.4375;84.84375;84.84375;88.59375;89.53125;89.53125;88.21875;71.25;71.25;47.6875;32.96875;35.625;0.0;0.0;0.0;0.0;0.0;0.0;56.90625;67.03125;67.03125;74.34375;58.09375;55.78125;55.78125;64.03125;95.6875;100.0;100.0;100.0;100.0;100.0;100.0;100.0;95.03125;48.625;22.1875
Pieza_13_foto138;13;138;0.0;0.0;0.0;0.0;0.0;0.0;4.765625;58.9453125;93.5546875;100.0;100.0;100.0;88.8671875;85.15625;85.15625;85.15625;85.15625;85.15625;89.7265625;91.25;91.25;91.25;85.2734375;68.75;68.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1953125;72.5;98.5546875;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_13_foto147;13;147;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0625;82.86458333333333;83.75;83.75;83.75;83.75;79.63541666666667;71.40625;71.40625;71.40625;71.40625;71.40625;71.40625;71.40625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.71875;67.70833333333333;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_13_foto148;13;148;0.0;0.0;0.0;1.6796875;82.36328125;100.0;90.1953125;87.96875;87.96875;84.0234375;80.3125;80.3125;76.85546875;71.09375;71.4453125;62.3828125;58.515625;59.53125;59.66796875;47.12890625;32.96875;28.125;28.0859375;26.25;30.8203125;0.0;0.0;0.0;0.0;9.8828125;84.90234375;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;91.875;64.23828125;57.34375;58.4765625;84.1796875;90.41015625;85.05859375;64.140625;54.55078125;41.40625
Pieza_13_foto155;13;155;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.072916666666666;62.395833333333336;91.61458333333333;100.0;100.0;100.0;97.39583333333333;86.97916666666667;85.15625;85.15625;85.15625;85.15625;85.15625;85.15625;85.15625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.197916666666667;40.729166666666664;60.78125;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_13_foto156;13;156;0.0;0.0;0.0;0.0;0.0;0.0;48.625;100.0;100.0;100.0;67.84375;65.15625;65.15625;65.15625;65.15625;65.15625;73.40625;74.0625;74.0625;61.03125;37.8125;37.8125;37.8125;54.28125;58.4375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.15625;78.53125;95.4375;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;92.9375;80.15625;80.15625;80.15625;80.15625
Pieza_13_foto173;13;173;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.145833333333334;36.458333333333336;100.0;100.0;100.0;100.0;100.0;93.22916666666667;72.76041666666667;71.77083333333333;71.04166666666667;70.3125;69.375;68.4375;53.75;53.75;53.75;53.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.59375;9.166666666666666;36.822916666666664;71.04166666666667;91.14583333333333;100.0;100.0;100.0;96.19791666666667;88.59375;88.59375;88.59375;88.59375;88.59375;88.59375;83.85416666666667
Pieza_13_foto174;13;174;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.270833333333334;74.01041666666667;100.0;100.0;100.0;100.0;100.0;61.875;39.53125;39.53125;39.53125;39.53125;38.333333333333336;25.15625;24.21875;24.21875;24.21875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.791666666666666;36.979166666666664;62.760416666666664;91.97916666666667;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_13_foto184;13;184;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.479166666666666;40.78125;73.54166666666667;81.71875;81.71875;81.71875;80.98958333333333;76.82291666666667;71.5625;71.5625;71.5625;71.5625;71.51041666666667;64.01041666666667;62.65625;62.65625;62.65625;62.65625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.208333333333334;45.208333333333336;62.447916666666664;100.0;100.0;100.0;100.0;100.0;100.0;84.0625;84.0625;84.0625;84.0625;84.0625;84.0625;84.0625
Pieza_13_foto185;13;185;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.052083333333333;30.364583333333332;45.052083333333336;54.84375;59.6875;59.6875;57.083333333333336;55.78125;55.78125;55.78125;55.78125;55.78125;55.78125;55.78125;55.78125;55.78125;55.78125;55.78125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.21875;68.90625;95.78125;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_13_foto195;13;195;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.53125;24.635416666666668;52.864583333333336;81.04166666666667;95.0;100.0;100.0;95.26041666666667;81.71875;80.0;61.40625;42.03125;37.291666666666664;26.041666666666668;21.40625;21.40625;21.40625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.65625;33.75;55.520833333333336;80.3125;80.3125;80.3125;80.3125;80.3125;49.270833333333336;18.177083333333332;0.0;0.0;0.0;0.0
Pieza_13_foto196;13;196;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.166666666666666;68.33333333333333;100.0;100.0;100.0;100.0;97.23958333333333;81.04166666666667;71.51041666666667;68.28125;68.28125;68.28125;50.15625;50.15625;50.15625;53.385416666666664;59.84375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.989583333333333;56.458333333333336;90.26041666666667;100.0;100.0;100.0;100.0;79.89583333333333;65.36458333333333;56.40625;56.40625;56.40625;56.40625;56.40625;73.38541666666667;86.5625
Pieza_13_foto20;13;20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.6640625;93.5546875;100.0;100.0;100.0;53.359375;10.6640625;0.0;0.0;0.0;0.0;0.0;0.0;14.296875;15.625;15.625;15.625;15.625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.6484375;44.53125;79.1015625;100.0;100.0;84.2578125;54.53125;54.53125;54.53125;54.53125;53.3984375;30.6640625;8.984375;2.2265625;2.96875;2.96875;2.96875;5.859375
Pieza_13_foto207;13;207;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;63.90625;100.0;100.0;100.0;100.0;100.0;82.8125;44.583333333333336;35.9375;35.9375;35.9375;35.9375;35.9375;35.9375;48.958333333333336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.6458333333333335;27.604166666666668;60.416666666666664;87.86458333333333;100.0;100.0;100.0;100.0;94.58333333333333;83.75;83.75;83.75;83.75;83.75;83.75
Pieza_13_foto208;13;208;0.0;0.0;24.900568181818183;48.4375;48.4375;54.10511363636363;57.1875;63.96306818181818;86.3778409090909;100.0;100.0;100.0;98.19602272727273;78.4090909090909;76.13636363636364;78.84943181818181;70.38352272727273;63.52272727272727;22.798295454545453;41.96022727272727;81.78977272727273;83.39488636363636;64.77272727272727;64.375;27.585227272727273;0.0;0.0;7.2727272727272725;91.54829545454545;97.8409090909091;73.06818181818181;84.10511363636364;91.73295454545455;84.84375;98.79261363636364;100.0;100.0;100.0;83.2528409090909;66.15056818181819;87.54261363636364;98.6221590909091;84.84375;70.8096590909091;41.51988636363637;53.84943181818182;78.06818181818181;41.64772727272727;10.78125;5.880681818181818
Pieza_13_foto21;13;21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.265625;90.703125;100.0;100.0;87.4609375;55.1171875;21.1328125;18.59375;18.59375;18.59375;14.8046875;12.65625;12.65625;12.65625;12.65625;12.65625;18.0078125;19.84375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.6953125;69.453125;100.0;100.0;100.0;72.2265625;59.21875;59.21875;59.21875;58.515625;32.96875;32.96875;32.96875;32.96875;23.203125;20.4296875;20.46875;34.21875
Pieza_13_foto220;13;220;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.302083333333334;66.97916666666667;90.20833333333333;100.0;100.0;100.0;100.0;61.770833333333336;38.4375;38.4375;32.135416666666664;19.53125;19.53125;19.53125;19.53125;19.53125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.25;55.78125;82.34375;82.5;82.5;82.5;82.5;68.02083333333333;44.375;44.375;44.375;44.375;44.375;44.375
