img_name;folder;image;h_1;h_2;h_3;h_4;h_5;h_6;h_7;h_8;h_9;h_10;h_11;h_12;h_13;h_14;h_15;h_16;h_17;h_18;h_19;h_20;h_21;h_22;h_23;h_24;h_25;h_26;h_27;h_28;h_29;h_30;h_31;h_32;h_33;h_34;h_35;h_36;h_37;h_38;h_39;h_40;h_41;h_42;h_43;h_44;h_45;h_46;h_47;h_48;h_49;h_50;h_51;h_52;h_53;h_54;h_55;h_56;h_57;h_58;h_59;h_60;h_61;h_62;h_63;h_64;h_65;h_66;h_67;h_68;h_69;h_70;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30;pw_31;pw_32;pw_33;pw_34;pw_35;pw_36;pw_37;pw_38;pw_39;pw_40;pw_41;pw_42;pw_43;pw_44;pw_45;pw_46;pw_47;pw_48;pw_49;pw_50;pw_51;pw_52;pw_53;pw_54;pw_55;pw_56;pw_57;pw_58;pw_59;pw_60;pw_61;pw_62;pw_63;pw_64;pw_65;pw_66;pw_67;pw_68;pw_69;pw_70
Pieza_05_foto0178;5;178;137;137;137;137;137;137;137;138;138;138;138;138;138;138;133;132;132;132;132;132;132;131;101;101;60;60;60;60;60;60;60;62;64;64;64;64;65;66;66;66;66;66;66;66;70;75;75;75;75;75;71;71;69;69;65;65;63;63;63;63;67;67;67;67;67;67;64;64;64;64;13.138686131386862;13.138686131386862;13.138686131386862;13.138686131386862;13.138686131386862;13.138686131386862;13.138686131386862;13.043478260869565;13.043478260869565;13.043478260869565;13.043478260869565;13.043478260869565;13.043478260869565;13.043478260869565;13.533834586466165;13.636363636363637;13.636363636363637;13.636363636363637;13.636363636363637;13.636363636363637;13.636363636363637;13.740458015267176;17.821782178217823;17.821782178217823;30.0;30.0;30.0;30.0;30.0;30.0;30.0;29.032258064516128;28.125;28.125;28.125;28.125;27.692307692307693;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273;25.714285714285715;24.0;24.0;24.0;24.0;24.0;25.35211267605634;25.35211267605634;26.08695652173913;26.08695652173913;27.692307692307693;27.692307692307693;28.571428571428573;28.571428571428573;28.571428571428573;28.571428571428573;26.865671641791046;26.865671641791046;26.865671641791046;26.865671641791046;26.865671641791046;26.865671641791046;28.125;28.125;28.125;28.125
Pieza_05_foto0197;5;197;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;79;78;78;78;78;79;79;79;79;79;88;88;88;88;88;88;82;81;81;81;81;81;81;81;82;88;88;88;88;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;22.78481012658228;23.076923076923077;23.076923076923077;23.076923076923077;23.076923076923077;22.78481012658228;22.78481012658228;22.78481012658228;22.78481012658228;22.78481012658228;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453;21.951219512195124;22.22222222222222;22.22222222222222;22.22222222222222;22.22222222222222;22.22222222222222;22.22222222222222;22.22222222222222;21.951219512195124;20.454545454545453;20.454545454545453;20.454545454545453;20.454545454545453
Pieza_05_foto0207;5;207;57;57;57;57;57;57;61;62;63;66;67;67;69;73;73;74;75;76;78;80;80;80;80;84;87;90;90;90;90;90;95;97;97;97;97;97;97;97;100;100;100;100;100;100;101;102;105;106;107;109;110;111;113;114;114;116;117;118;122;122;126;126;126;126;126;126;125;125;125;125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_05_foto0220;5;220;228;228;228;228;228;228;228;228;228;228;228;219;219;219;219;219;219;219;219;217;215;215;188;188;188;188;188;188;190;191;191;191;191;191;191;187;174;174;174;174;174;174;174;172;169;166;165;165;162;162;162;161;159;158;157;155;155;155;137;137;137;137;143;143;143;143;143;143;143;143;7.894736842105263;7.894736842105263;7.894736842105263;7.894736842105263;7.894736842105263;7.894736842105263;7.894736842105263;7.894736842105263;7.894736842105263;7.894736842105263;7.894736842105263;8.219178082191782;8.219178082191782;8.219178082191782;8.219178082191782;8.219178082191782;8.219178082191782;8.219178082191782;8.219178082191782;8.294930875576037;8.372093023255815;8.372093023255815;9.574468085106384;9.574468085106384;9.574468085106384;9.574468085106384;9.574468085106384;9.574468085106384;9.473684210526315;9.424083769633508;9.424083769633508;9.424083769633508;9.424083769633508;9.424083769633508;9.424083769633508;9.62566844919786;10.344827586206897;10.344827586206897;10.344827586206897;10.344827586206897;10.344827586206897;10.344827586206897;10.344827586206897;10.465116279069768;10.650887573964496;10.843373493975903;10.909090909090908;10.909090909090908;11.11111111111111;11.11111111111111;11.11111111111111;11.180124223602485;11.320754716981131;11.39240506329114;11.464968152866241;11.612903225806452;11.612903225806452;11.612903225806452;13.138686131386862;13.138686131386862;13.138686131386862;13.138686131386862;12.587412587412587;12.587412587412587;12.587412587412587;12.587412587412587;12.587412587412587;12.587412587412587;12.587412587412587;12.587412587412587
Pieza_05_foto0221;5;221;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;147;147;147;147;147;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;12.244897959183673;12.244897959183673;12.244897959183673;12.244897959183673;12.244897959183673;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942;11.764705882352942
Pieza_05_foto0223;5;223;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;60;60;60;60;60;64;64;64;64;64;63;63;61;59;56;54;54;54;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;30.0;30.0;30.0;30.0;30.0;28.125;28.125;28.125;28.125;28.125;28.571428571428573;28.571428571428573;29.508196721311474;30.508474576271187;32.142857142857146;33.333333333333336;33.333333333333336;33.333333333333336
Pieza_05_foto0229;5;229;48;48;48;48;49;49;50;50;50;50;50;50;50;50;50;51;55;55;60;60;63;65;71;76;77;79;83;84;86;88;91;92;92;92;92;94;98;102;105;108;112;116;118;119;119;119;119;127;142;148;152;152;152;152;152;152;159;165;168;171;173;173;173;173;173;175;178;180;181;181;37.5;37.5;37.5;37.5;36.734693877551024;36.734693877551024;36.0;36.0;36.0;36.0;36.0;36.0;36.0;36.0;36.0;35.294117647058826;32.72727272727273;32.72727272727273;30.0;30.0;28.571428571428573;27.692307692307693;25.35211267605634;23.68421052631579;23.376623376623378;22.78481012658228;21.686746987951807;21.428571428571427;20.930232558139537;20.454545454545453;19.78021978021978;19.565217391304348;19.565217391304348;19.565217391304348;19.565217391304348;19.148936170212767;18.367346938775512;17.647058823529413;17.142857142857142;16.666666666666668;16.071428571428573;15.517241379310345;15.254237288135593;15.126050420168067;15.126050420168067;15.126050420168067;15.126050420168067;14.173228346456693;12.67605633802817;12.162162162162161;11.842105263157896;11.842105263157896;11.842105263157896;11.842105263157896;11.842105263157896;11.842105263157896;11.320754716981131;10.909090909090908;10.714285714285714;10.526315789473685;10.404624277456648;10.404624277456648;10.404624277456648;10.404624277456648;10.404624277456648;10.285714285714286;10.112359550561798;10.0;9.94475138121547;9.94475138121547
Pieza_05_foto0232;5;232;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;56;56;56;56;56;57;57;57;57;57;57;57;58;62;64;64;64;67;73;73;73;73;73;63;63;63;63;64;66;68;70;74;74;74;75;79;80;80;80;80;80;80;80;80;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;18.181818181818183;32.142857142857146;32.142857142857146;32.142857142857146;32.142857142857146;32.142857142857146;31.57894736842105;31.57894736842105;31.57894736842105;31.57894736842105;31.57894736842105;31.57894736842105;31.57894736842105;31.03448275862069;29.032258064516128;28.125;28.125;28.125;26.865671641791046;24.65753424657534;24.65753424657534;24.65753424657534;24.65753424657534;24.65753424657534;28.571428571428573;28.571428571428573;28.571428571428573;28.571428571428573;28.125;27.272727272727273;26.470588235294116;25.714285714285715;24.324324324324323;24.324324324324323;24.324324324324323;24.0;22.78481012658228;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5
Pieza_05_foto0234;5;234;58;58;58;58;58;58;58;58;61;64;64;64;64;64;63;63;63;63;63;59;59;59;59;63;70;70;70;70;70;65;64;64;64;64;64;64;62;62;62;62;62;62;62;62;62;62;62;62;62;58;58;58;58;58;58;58;65;65;65;65;65;65;65;65;66;66;66;66;66;66;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_05_foto0235;5;235;59;59;59;59;59;59;59;59;59;59;59;59;62;62;62;62;62;62;62;62;65;65;65;65;65;64;58;56;56;56;56;56;60;60;60;60;60;60;59;59;54;54;54;54;54;53;53;53;53;53;53;53;53;53;53;53;53;54;54;54;54;56;56;56;56;56;56;55;55;55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3418803418803419;0.3418803418803419;0.3418803418803419;0.3418803418803419;0.3418803418803419;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
