img_name;folder;image;h_1;h_2;h_3;h_4;h_5;h_6;h_7;h_8;h_9;h_10;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10
Pieza_01_foto0369;1;369;66;64;64;64;64;64;62;61;61;61;51.5625;50.0;49.52392578125;50.0;49.5849609375;48.5595703125;48.08467741935484;47.42571721311475;47.01588114754098;47.65625
Pieza_01_foto038;1;38;69;69;74;77;68;68;64;62;58;58;53.90625;52.864583333333336;50.55954391891892;60.13595779220779;50.78125;52.263327205882355;49.2919921875;48.4375;43.75;44.74676724137931
Pieza_01_foto039;1;39;64;63;61;60;60;61;63;62;57;56;49.90234375;48.47470238095238;47.65625;46.875;46.875;46.11936475409836;49.21875;40.486391129032256;44.53125;43.75
Pieza_01_foto0416;1;416;53;55;82;82;79;73;77;77;77;73;40.625;42.76988636363637;45.388719512195124;63.938643292682926;60.18591772151899;47.934503424657535;40.625;60.15625;48.77232142857143;55.46875
Pieza_01_foto0437;1;437;68;70;74;68;67;65;64;57;57;55;52.34375;54.6875;57.62246621621622;53.125;51.5625;49.21875;47.216796875;44.53125;44.50383771929825;42.57102272727273
Pieza_01_foto0460;1;460;112;112;113;113;109;103;104;102;102;67;86.00725446428571;86.69084821428571;84.09153761061947;88.22594026548673;63.496272935779814;57.25121359223301;81.01712740384616;79.6875;53.50030637254902;52.34375
Pieza_01_foto0461;1;461;58;68;107;107;107;100;99;97;97;83;45.3125;52.8952205882353;52.39485981308411;83.59375;81.5347546728972;77.703125;77.2885101010101;75.78125;54.51836340206186;64.01543674698796
Pieza_01_foto0521;1;521;70;61;58;60;62;58;61;73;59;61;54.017857142857146;44.53125;45.23168103448276;45.859375;48.16028225806452;45.3125;45.978483606557376;57.03125;44.55773305084746;46.68288934426229
Pieza_01_foto0522;1;522;64;59;59;54;65;67;67;61;61;63;48.9013671875;45.3125;46.05402542372882;42.1875;42.99278846153846;50.78125;51.22434701492537;45.3125;47.041495901639344;49.045138888888886
Pieza_01_foto0545;1;545;83;83;57;83;86;90;56;56;64;57;64.84375;64.66490963855422;43.75;44.53125;64.84375;70.12152777777777;43.75;43.75;49.70703125;44.53125
Pieza_01_foto076;1;76;65;62;62;62;62;55;57;52;54;52;50.49278846153846;48.185483870967744;47.99647177419355;48.4375;48.4375;42.96875;44.53125;40.625;42.042824074074076;40.625
Pieza_01_foto077;1;77;63;63;62;62;62;59;58;53;53;56;49.21875;48.35069444444444;48.12247983870968;48.4375;45.35030241935484;45.828919491525426;41.742995689655174;41.40625;41.40625;42.67578125
Pieza_01_foto098;1;98;58;62;63;67;67;69;69;67;72;72;43.75;45.3125;48.958333333333336;50.54804104477612;52.34375;53.53260869565217;51.25679347826087;52.34375;54.524739583333336;56.25
Pieza_01_foto118;1;118;58;58;59;58;58;66;63;59;60;64;45.3125;43.9385775862069;45.3125;42.1875;45.3125;47.15909090909091;48.46230158730159;46.09375;46.09375;49.4140625
Pieza_01_foto119;1;119;66;66;62;64;64;60;58;63;63;62;51.5625;49.75142045454545;48.021673387096776;46.4111328125;49.8291015625;46.875;45.3125;46.56498015873016;49.15674603174603;47.65625
Pieza_01_foto137;1;137;64;82;81;78;78;75;74;74;70;67;48.828125;59.603658536585364;60.9375;60.9375;59.0244391025641;57.0625;57.8125;56.070523648648646;52.52232142857143;52.34375
Pieza_01_foto138;1;138;86;85;82;80;81;80;76;77;77;75;67.08757267441861;65.7720588235294;63.28125;62.5;63.18479938271605;61.884765625;59.375;59.6489448051948;59.44602272727273;58.59375
Pieza_01_foto152;1;152;62;62;59;59;61;61;60;62;64;64;48.4375;47.127016129032256;45.51112288135593;46.09375;47.0030737704918;47.11834016393443;46.848958333333336;47.69405241935484;48.4375;50.0
Pieza_01_foto153;1;153;60;64;64;65;65;66;68;68;68;68;46.875;46.875;50.0;47.65625;50.78125;50.78125;51.63143382352941;53.125;53.125;52.52757352941177
Pieza_01_foto184;1;184;67;67;60;59;60;61;63;63;64;64;52.34375;52.34375;46.744791666666664;46.09375;46.09375;47.5281762295082;48.94593253968254;49.21875;49.5849609375;49.0478515625
Pieza_01_foto185;1;185;58;59;55;55;60;62;62;61;61;62;45.3125;46.06726694915254;42.96875;42.8125;42.942708333333336;46.875;47.88306451612903;46.50358606557377;46.759733606557376;46.106350806451616
Pieza_01_foto219;1;219;73;73;75;129;129;63;64;67;67;58;57.03125;53.125;57.03125;63.275193798449614;90.69767441860465;73.4375;49.86572265625;47.02658582089552;50.944496268656714;43.305495689655174
Pieza_01_foto255;1;255;67;68;75;75;67;71;71;61;62;62;52.34375;52.97564338235294;55.53125;55.677083333333336;50.0;52.47579225352113;51.6175176056338;46.157786885245905;42.96875;47.76965725806452
Pieza_01_foto277;1;277;55;56;59;60;60;62;62;62;62;63;42.1875;43.41517857142857;45.233050847457626;46.302083333333336;46.875;46.875;48.4375;47.65625;48.4375;48.697916666666664
Pieza_01_foto295;1;295;129;126;58;65;65;114;114;111;59;94;99.18846899224806;91.4186507936508;66.09644396551724;46.88701923076923;47.01923076923077;63.541666666666664;88.89117324561404;57.411317567567565;46.09375;63.78823138297872
Pieza_01_foto318;1;318;57;58;57;57;59;60;62;64;64;64;44.53125;45.3125;44.53125;44.53125;45.3125;46.875;47.442036290322584;49.21875;50.0;50.0
Pieza_01_foto319;1;319;91;91;89;82;79;83;83;90;90;89;71.09375;67.1875;69.46102528089888;53.058307926829265;60.71993670886076;64.75903614457832;64.84375;68.93229166666667;69.01909722222223;69.53125
Pieza_01_foto342;1;342;54;54;54;54;54;54;54;54;54;54;42.1875;42.1875;42.1875;42.1875;42.1875;42.1875;42.1875;42.1875;42.1875;42.1875
Pieza_01_foto344;1;344;62;66;67;63;61;65;68;68;66;66;48.4375;50.46164772727273;52.11054104477612;48.549107142857146;47.65625;47.70432692307692;48.39154411764706;53.125;50.24857954545455;48.68607954545455
Pieza_01_foto368;1;368;59;68;64;63;63;66;66;58;64;65;43.816207627118644;51.263786764705884;49.21875;48.4375;49.21875;50.44981060606061;47.44318181818182;44.89493534482759;47.30224609375;50.69711538461539
Pieza_01_foto369;1;369;81;81;81;81;81;81;81;81;81;81;63.28125;63.28125;63.28125;63.28125;63.28125;63.28125;63.28125;63.28125;63.28125;63.28125
Pieza_01_foto38;1;38;56;60;59;61;64;74;74;71;64;66;42.1875;45.807291666666664;46.09375;45.3125;48.876953125;57.601351351351354;57.8125;47.964348591549296;50.0;50.56818181818182
Pieza_01_foto39;1;39;69;69;68;69;67;68;73;73;70;70;53.90625;49.377264492753625;44.53125;53.44202898550725;51.340951492537314;52.228860294117645;51.5625;55.747003424657535;52.377232142857146;54.6875
Pieza_01_foto416;1;416;79;82;82;81;77;83;91;89;89;56;60.15625;64.0625;62.728658536585364;62.123842592592595;44.53125;62.00112951807229;70.33825549450549;69.53125;56.22366573033708;43.75
Pieza_01_foto437;1;437;53;54;55;90;90;64;77;77;72;66;41.303066037735846;41.232638888888886;42.91193181818182;55.390625;58.40277777777778;48.4375;52.8510551948052;59.66923701298701;53.70008680555556;50.343276515151516
Pieza_01_foto460;1;460;83;85;85;86;86;86;89;89;91;90;64.84375;66.38786764705883;61.36029411764706;66.53343023255815;54.35138081395349;53.25218023255814;69.51369382022472;68.12675561797752;70.93921703296704;69.765625
Pieza_01_foto461;1;461;56;58;58;57;58;65;67;72;72;69;41.40625;45.3125;44.81411637931034;44.53125;44.692887931034484;48.70192307692308;51.20102611940298;54.296875;56.25;47.98460144927536
Pieza_01_foto521;1;521;58;67;70;69;64;64;57;56;59;67;45.3125;43.75;54.330357142857146;45.437047101449274;43.75;49.98779296875;44.53125;43.75;42.96875;51.888992537313435
Pieza_01_foto522;1;522;60;61;61;65;65;81;81;57;56;59;46.875;47.47694672131148;42.96875;47.80048076923077;45.69711538461539;46.498842592592595;59.67399691358025;44.53125;43.038504464285715;45.021186440677965
Pieza_01_foto545;1;545;60;80;82;86;93;89;86;87;87;86;46.875;54.951171875;63.32888719512195;64.0625;72.57224462365592;67.1875;46.875;47.11745689655172;67.51975574712644;67.1875
Pieza_01_foto76;1;76;58;63;65;65;68;70;70;69;73;73;45.3125;46.713789682539684;50.72115384615385;49.21875;50.78125;53.560267857142854;54.6875;53.90625;54.794520547945204;57.03125
Pieza_01_foto77;1;77;63;62;62;67;64;68;68;68;69;69;49.21875;48.4375;47.50504032258065;49.230410447761194;50.0;50.0;53.125;53.125;52.52490942028985;53.90625
Pieza_01_foto98;1;98;69;66;62;63;63;62;61;57;56;52;53.54393115942029;51.124526515151516;47.65625;46.09375;49.21875;47.65625;46.54200819672131;44.53125;42.257254464285715;39.84375
Pieza_02_foto028;2;28;108;108;108;108;108;108;100;108;108;108;84.375;84.375;84.375;84.375;84.375;83.07291666666667;76.75;82.90653935185185;84.375;84.375
Pieza_02_foto066;2;66;65;64;76;79;85;85;86;85;85;85;50.78125;48.486328125;50.34950657894737;59.81012658227848;62.931985294117645;66.40625;67.15116279069767;66.40625;66.40625;66.40625
Pieza_02_foto28;2;28;180;180;170;69;69;62;64;139;92;143;71.11111111111111;71.11111111111111;59.61856617647059;51.630434782608695;52.85326086956522;46.118951612903224;70.1904296875;84.77967625899281;70.60971467391305;82.62674825174825
Pieza_02_foto66;2;66;81;80;79;80;79;79;74;71;62;62;63.28125;61.71875;61.71875;62.4609375;61.71875;59.24643987341772;56.408361486486484;51.55149647887324;43.75;48.4375
Pieza_03_foto0113;3;113;76;72;72;71;74;74;72;72;72;63;59.375;44.58550347222222;56.25;54.6875;57.44298986486486;57.8125;55.642361111111114;55.837673611111114;54.00390625;49.21875
Pieza_03_foto0138;3;138;84;86;85;82;72;72;76;76;62;62;64.0625;66.88771802325581;65.58823529411765;63.88147865853659;42.96875;52.97309027777778;54.8108552631579;58.768503289473685;48.4375;39.36491935483871
Pieza_03_foto0139;3;139;83;83;81;81;62;70;70;66;66;62;63.28125;63.45067771084337;62.885802469135804;60.84104938271605;48.4375;48.10267857142857;54.107142857142854;51.5625;51.37310606060606;48.4375
Pieza_03_foto016;3;16;257;258;249;266;269;270;269;268;207;126;49.80544747081712;49.6124031007752;51.40562248995984;48.1203007518797;47.58364312267658;47.407407407407405;47.58364312267658;47.76119402985075;61.52626811594203;97.93526785714286
Pieza_03_foto0294;3;294;35;61;69;71;73;73;75;74;71;70;27.34375;39.357069672131146;50.50951086956522;54.973591549295776;56.924229452054796;55.982448630136986;58.427083333333336;57.7491554054054;55.006602112676056;54.08482142857143
Pieza_03_foto0328;3;328;58;61;61;61;61;61;64;64;63;60;43.75;45.3125;47.64344262295082;46.86219262295082;46.59323770491803;46.875;47.94921875;50.0;48.697916666666664;46.223958333333336
Pieza_03_foto0345;3;345;54;54;55;57;58;58;59;58;58;58;42.1875;42.1875;41.40625;43.03728070175438;44.53125;45.3125;45.74947033898305;45.3125;45.3125;45.3125
Pieza_03_foto0393;3;393;60;62;62;62;64;65;65;61;60;58;46.875;47.22782258064516;48.4375;48.4375;48.84033203125;50.0;50.39663461538461;47.65625;46.875;45.3125
Pieza_03_foto0411;3;411;108;108;101;109;112;111;110;110;110;80;84.375;82.97887731481481;78.25649752475248;80.64076834862385;86.865234375;83.48113738738739;85.47585227272727;85.9375;81.97443181818181;41.4453125
