img_name;folder;image;h_1;h_2;h_3;h_4;h_5;h_6;h_7;h_8;h_9;h_10;h_11;h_12;h_13;h_14;h_15;h_16;h_17;h_18;h_19;h_20;h_21;h_22;h_23;h_24;h_25;h_26;h_27;h_28;h_29;h_30;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30
Pieza_01_foto077;1;77;63;63;63;63;62;61;61;62;62;62;62;62;62;57;57;58;59;59;59;54;53;53;53;53;53;53;53;53;56;56;21.768707482993197;21.768707482993197;21.768707482993197;20.861678004535147;20.007680491551458;18.891491022638565;18.891491022638565;20.31490015360983;20.31490015360983;20.31490015360983;20.31490015360983;20.31490015360983;19.930875576036865;13.533834586466165;13.533834586466165;14.819376026272579;16.142050040355127;16.142050040355127;13.438256658595641;9.25925925925926;8.80503144654088;8.80503144654088;8.80503144654088;8.80503144654088;8.80503144654088;8.80503144654088;8.80503144654088;8.80503144654088;12.032312925170068;12.287414965986395
Pieza_01_foto098;1;98;56;57;58;58;58;62;63;63;63;65;66;67;67;67;67;69;69;69;69;65;66;67;67;67;70;71;72;72;72;72;75.0;73.6842105263158;72.41379310344827;72.41379310344827;72.41379310344827;67.74193548387096;66.66666666666667;66.66666666666667;66.66666666666667;64.61538461538461;63.63636363636363;62.6865671641791;62.6865671641791;62.6865671641791;62.6865671641791;60.869565217391305;60.869565217391305;60.869565217391305;60.869565217391305;64.61538461538461;63.63636363636363;62.6865671641791;62.6865671641791;62.6865671641791;60.0;59.15492957746479;58.333333333333336;58.333333333333336;58.333333333333336;58.333333333333336
Pieza_01_foto118;1;118;58;58;58;58;55;55;59;59;59;54;54;56;58;58;58;57;66;66;66;62;62;59;59;59;59;59;59;64;64;64;72.41379310344827;72.41379310344827;72.41379310344827;72.41379310344827;76.36363636363636;76.36363636363636;71.1864406779661;71.1864406779661;71.1864406779661;77.77777777777777;77.77777777777777;75.0;72.41379310344827;72.41379310344827;72.41379310344827;73.6842105263158;63.63636363636363;63.63636363636363;63.63636363636363;67.74193548387096;67.74193548387096;71.1864406779661;71.1864406779661;71.1864406779661;71.1864406779661;71.1864406779661;71.1864406779661;65.625;65.625;65.625
Pieza_01_foto119;1;119;66;66;66;66;62;62;62;61;61;59;61;64;64;64;60;60;60;59;58;58;58;59;61;63;63;63;61;61;61;62;63.63636363636363;63.63636363636363;63.63636363636363;63.63636363636363;67.74193548387096;67.74193548387096;67.74193548387096;68.85245901639344;68.85245901639344;71.1864406779661;68.85245901639344;65.625;65.625;65.625;70.0;70.0;70.0;71.1864406779661;72.41379310344827;72.41379310344827;72.41379310344827;71.1864406779661;68.85245901639344;66.66666666666667;66.66666666666667;66.66666666666667;68.85245901639344;68.85245901639344;68.85245901639344;67.74193548387096
Pieza_01_foto137;1;137;64;64;61;64;82;82;82;78;78;78;78;78;78;76;75;75;73;73;74;74;74;74;74;71;70;69;67;67;67;67;1.8229166666666667;1.0416666666666667;0.624512099921936;1.5625;18.147502903600465;18.147502903600465;15.331010452961673;13.461538461538462;13.461538461538462;13.461538461538462;13.461538461538462;13.461538461538462;13.003663003663004;10.714285714285714;10.285714285714286;9.555555555555555;8.349641226353555;8.349641226353555;9.298584298584299;9.298584298584299;9.298584298584299;9.298584298584299;7.754182754182755;6.103286384976526;5.3061224489795915;4.140786749482402;3.5536602700781805;3.5536602700781805;3.5536602700781805;3.5536602700781805
Pieza_01_foto138;1;138;86;86;86;85;85;84;82;81;81;81;80;80;80;81;81;81;80;79;76;76;76;76;76;77;77;77;76;75;75;75;11.074197120708748;11.074197120708748;10.520487264673312;10.11204481792717;9.915966386554622;8.16326530612245;6.968641114982578;6.613756613756614;6.613756613756614;6.172839506172839;5.833333333333333;5.833333333333333;5.833333333333333;6.613756613756614;6.613756613756614;6.172839506172839;5.416666666666667;4.159132007233273;3.1328320802005014;3.1328320802005014;3.1328320802005014;3.1328320802005014;3.1328320802005014;3.741496598639456;3.741496598639456;3.5250463821892395;2.819548872180451;2.5714285714285716;2.5714285714285716;2.5714285714285716
Pieza_01_foto152;1;152;62;62;62;62;60;57;59;59;59;59;59;59;61;61;61;61;61;59;60;60;60;61;62;62;62;62;64;64;64;64;67.74193548387096;67.74193548387096;67.74193548387096;67.74193548387096;70.0;73.6842105263158;71.1864406779661;71.1864406779661;71.1864406779661;71.1864406779661;71.1864406779661;71.1864406779661;68.85245901639344;68.85245901639344;68.85245901639344;68.85245901639344;68.85245901639344;71.1864406779661;70.0;70.0;70.0;68.85245901639344;67.74193548387096;67.74193548387096;67.74193548387096;67.74193548387096;65.625;65.625;65.625;65.625
Pieza_01_foto153;1;153;60;60;60;60;64;64;64;64;64;61;61;65;65;65;65;65;65;66;66;67;68;68;68;68;68;68;68;68;67;67;70.0;70.0;70.0;70.0;65.625;65.625;65.625;65.625;65.625;68.85245901639344;68.85245901639344;64.61538461538461;64.61538461538461;64.61538461538461;64.61538461538461;64.61538461538461;64.61538461538461;63.63636363636363;63.63636363636363;62.6865671641791;61.76470588235294;61.76470588235294;61.76470588235294;61.76470588235294;61.76470588235294;61.76470588235294;61.76470588235294;61.76470588235294;62.6865671641791;62.6865671641791
Pieza_01_foto184;1;184;67;67;67;67;67;67;60;60;59;59;59;59;59;59;60;61;61;61;63;63;63;63;63;63;63;64;64;64;63;62;62.6865671641791;62.6865671641791;62.6865671641791;62.6865671641791;62.6865671641791;62.6865671641791;70.0;70.0;71.1864406779661;71.1864406779661;71.1864406779661;71.1864406779661;71.1864406779661;71.1864406779661;70.0;68.85245901639344;68.85245901639344;68.85245901639344;66.66666666666667;66.66666666666667;66.66666666666667;66.66666666666667;66.66666666666667;66.66666666666667;66.66666666666667;65.625;65.625;65.625;66.66666666666667;67.74193548387096
Pieza_01_foto185;1;185;58;58;58;59;59;58;55;55;54;55;55;55;54;60;60;60;60;62;62;62;59;59;61;61;61;60;58;58;62;62;72.41379310344827;72.41379310344827;72.41379310344827;71.1864406779661;71.1864406779661;72.41379310344827;76.36363636363636;76.36363636363636;77.77777777777777;76.36363636363636;76.36363636363636;76.36363636363636;77.77777777777777;70.0;70.0;70.0;70.0;67.74193548387096;67.74193548387096;67.74193548387096;71.1864406779661;71.1864406779661;68.85245901639344;68.85245901639344;68.85245901639344;70.0;72.41379310344827;72.41379310344827;67.74193548387096;67.74193548387096
