img_name;folder;image;h_1;h_2;h_3;h_4;h_5;h_6;h_7;h_8;h_9;h_10;h_11;h_12;h_13;h_14;h_15;h_16;h_17;h_18;h_19;h_20;h_21;h_22;h_23;h_24;h_25;h_26;h_27;h_28;h_29;h_30;h_31;h_32;h_33;h_34;h_35;h_36;h_37;h_38;h_39;h_40;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30;pw_31;pw_32;pw_33;pw_34;pw_35;pw_36;pw_37;pw_38;pw_39;pw_40
Pieza_01_foto0219;1;219;57;57;57;59;59;60;60;60;61;61;61;64;64;64;64;64;64;65;65;65;65;69;69;69;65;65;73;73;73;73;76;76;76;76;71;71;77;77;77;77;0.0;0.0;0.0;0.05296610169491525;0.05296610169491525;0.20833333333333334;0.20833333333333334;0.20833333333333334;0.4610655737704918;0.4610655737704918;0.4610655737704918;1.7578125;1.7578125;1.7578125;1.7578125;1.7578125;1.7578125;2.355769230769231;2.355769230769231;2.355769230769231;2.355769230769231;5.480072463768116;5.480072463768116;5.117753623188406;2.355769230769231;2.355769230769231;8.604452054794521;9.631849315068493;9.631849315068493;9.631849315068493;12.952302631578947;13.322368421052632;13.322368421052632;9.62171052631579;7.438380281690141;7.438380281690141;14.650974025974026;14.650974025974026;14.650974025974026;14.650974025974026
Pieza_01_foto0255;1;255;57;57;57;57;55;55;56;57;59;59;59;59;59;59;71;74;74;74;69;69;69;66;66;66;66;67;67;67;67;67;69;70;70;70;70;70;70;70;70;70;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05296610169491525;0.05296610169491525;0.05296610169491525;0.05296610169491525;0.05296610169491525;0.05296610169491525;5.193661971830986;10.81081081081081;10.81081081081081;9.966216216216216;5.480072463768116;5.480072463768116;4.302536231884058;3.0303030303030303;3.0303030303030303;3.0303030303030303;3.0303030303030303;3.7779850746268657;3.7779850746268657;3.7779850746268657;3.7779850746268657;3.7779850746268657;5.480072463768116;5.982142857142857;6.428571428571429;6.428571428571429;6.428571428571429;6.428571428571429;6.428571428571429;6.428571428571429;6.428571428571429;6.428571428571429
Pieza_01_foto0277;1;277;69;69;68;68;68;68;68;68;68;68;67;67;67;67;67;67;67;65;65;65;65;65;65;64;64;64;63;63;63;63;63;63;62;62;62;61;61;60;60;60;46.3768115942029;46.3768115942029;47.05882352941177;47.05882352941177;47.05882352941177;47.05882352941177;47.05882352941177;47.05882352941177;47.05882352941177;47.05882352941177;47.76119402985075;47.76119402985075;47.76119402985075;47.76119402985075;47.76119402985075;47.76119402985075;47.76119402985075;49.23076923076923;49.23076923076923;49.23076923076923;49.23076923076923;49.23076923076923;49.23076923076923;50.0;50.0;50.0;50.79365079365079;50.79365079365079;50.79365079365079;50.79365079365079;50.79365079365079;50.79365079365079;51.61290322580645;51.61290322580645;51.61290322580645;52.459016393442624;52.459016393442624;53.333333333333336;53.333333333333336;53.333333333333336
Pieza_01_foto0295;1;295;55;55;55;55;55;53;53;53;53;53;53;53;53;53;53;53;54;55;55;55;59;59;59;59;58;58;58;59;59;59;58;58;58;58;58;61;62;62;62;62;2.0454545454545454;2.0454545454545454;2.0454545454545454;2.0454545454545454;1.3636363636363635;0.9433962264150944;0.9433962264150944;0.9433962264150944;0.9433962264150944;0.9433962264150944;0.9433962264150944;0.9433962264150944;0.9433962264150944;0.9433962264150944;0.9433962264150944;0.9433962264150944;1.4467592592592593;2.0454545454545454;2.0454545454545454;2.0454545454545454;3.6016949152542375;5.296610169491525;5.296610169491525;4.766949152542373;4.364224137931035;4.364224137931035;4.364224137931035;5.296610169491525;5.296610169491525;5.084745762711864;4.364224137931035;4.364224137931035;4.364224137931035;4.364224137931035;4.364224137931035;7.172131147540983;8.518145161290322;8.518145161290322;8.518145161290322;8.518145161290322
Pieza_01_foto0318;1;318;70;70;70;70;70;70;69;69;69;69;69;68;68;67;66;66;66;66;66;66;65;65;64;64;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;45.714285714285715;45.714285714285715;45.714285714285715;45.714285714285715;45.714285714285715;45.714285714285715;46.3768115942029;46.3768115942029;46.3768115942029;46.3768115942029;46.3768115942029;47.05882352941177;47.05882352941177;47.76119402985075;48.484848484848484;48.484848484848484;48.484848484848484;48.484848484848484;48.484848484848484;48.484848484848484;49.23076923076923;49.23076923076923;50.0;50.0;50.79365079365079;50.79365079365079;50.79365079365079;50.79365079365079;50.79365079365079;50.79365079365079;50.79365079365079;50.79365079365079;50.79365079365079;50.79365079365079;50.79365079365079;50.79365079365079;50.79365079365079;50.79365079365079;50.79365079365079;50.79365079365079
Pieza_01_foto0319;1;319;84;84;85;85;85;85;85;85;79;79;79;79;79;79;79;79;80;80;80;79;76;76;76;68;63;49;49;79;79;84;84;84;83;83;82;80;78;76;75;75;38.095238095238095;38.095238095238095;37.64705882352941;37.64705882352941;37.64705882352941;37.64705882352941;37.64705882352941;37.64705882352941;40.50632911392405;40.50632911392405;40.50632911392405;40.50632911392405;40.50632911392405;40.50632911392405;40.50632911392405;40.50632911392405;40.0;40.0;40.0;40.50632911392405;42.10526315789474;42.10526315789474;42.10526315789474;47.05882352941177;50.79365079365079;65.3061224489796;65.3061224489796;40.50632911392405;40.50632911392405;38.095238095238095;38.095238095238095;38.095238095238095;38.55421686746988;38.55421686746988;39.02439024390244;40.0;41.02564102564103;42.10526315789474;42.666666666666664;42.666666666666664
Pieza_01_foto0344;1;344;56;56;56;58;58;58;58;55;55;62;62;62;62;54;54;54;55;55;55;55;55;54;54;53;53;55;56;57;61;61;61;61;54;54;55;57;57;57;57;57;2.734375;2.734375;2.734375;4.148706896551724;4.364224137931035;4.364224137931035;2.9094827586206895;2.0454545454545454;2.0454545454545454;7.560483870967742;8.518145161290322;8.518145161290322;4.435483870967742;1.4467592592592593;1.4467592592592593;1.4467592592592593;2.0454545454545454;2.0454545454545454;2.0454545454545454;2.0454545454545454;1.7045454545454546;1.4467592592592593;1.1574074074074074;0.9433962264150944;0.9433962264150944;2.0454545454545454;2.734375;3.508771929824561;7.223360655737705;7.377049180327869;7.377049180327869;3.0737704918032787;1.4467592592592593;1.4467592592592593;1.8181818181818181;3.508771929824561;3.508771929824561;3.508771929824561;3.508771929824561;3.508771929824561
Pieza_01_foto0369;1;369;66;66;66;66;64;64;64;64;64;63;63;64;64;64;64;63;63;64;64;64;64;62;62;62;62;62;60;60;61;61;61;61;61;60;60;61;61;61;61;61;48.484848484848484;48.484848484848484;48.484848484848484;48.484848484848484;50.0;50.0;50.0;50.0;50.0;50.79365079365079;50.79365079365079;50.0;50.0;50.0;50.0;50.79365079365079;50.79365079365079;50.0;50.0;50.0;50.0;51.61290322580645;51.61290322580645;51.61290322580645;51.61290322580645;51.61290322580645;53.333333333333336;53.333333333333336;52.459016393442624;52.459016393442624;52.459016393442624;52.459016393442624;52.459016393442624;53.333333333333336;53.333333333333336;52.459016393442624;52.459016393442624;52.459016393442624;52.459016393442624;52.459016393442624
Pieza_01_foto038;1;38;69;69;69;68;67;67;69;69;69;65;64;74;77;77;77;72;65;65;68;68;68;68;66;66;64;64;62;62;62;62;62;62;57;56;58;58;58;58;57;57;5.480072463768116;5.480072463768116;5.434782608695652;4.136029411764706;3.7779850746268657;3.7779850746268657;5.480072463768116;5.480072463768116;4.121376811594203;2.019230769230769;1.7578125;5.236486486486487;14.569805194805195;14.650974025974026;14.366883116883116;4.253472222222222;2.355769230769231;2.355769230769231;3.5845588235294117;4.595588235294118;4.595588235294118;3.676470588235294;3.0303030303030303;2.272727272727273;1.7578125;1.46484375;0.8064516129032258;0.8064516129032258;0.8064516129032258;0.8064516129032258;0.8064516129032258;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_01_foto039;1;39;64;64;64;63;63;63;61;61;61;61;61;61;60;60;60;60;60;60;60;60;60;59;59;61;63;63;63;62;62;53;51;55;57;57;57;56;56;56;56;56;10.986328125;10.986328125;10.25390625;9.722222222222221;9.722222222222221;8.680555555555555;7.377049180327869;7.377049180327869;7.377049180327869;7.377049180327869;7.377049180327869;6.762295081967213;6.302083333333333;6.302083333333333;6.302083333333333;6.302083333333333;6.302083333333333;6.302083333333333;6.302083333333333;6.302083333333333;5.78125;5.296610169491525;5.296610169491525;6.659836065573771;9.722222222222221;9.722222222222221;9.077380952380953;8.518145161290322;3.5786290322580645;0.4716981132075472;0.24509803921568626;1.5340909090909092;3.508771929824561;3.508771929824561;3.0701754385964914;2.734375;2.734375;2.734375;2.734375;2.734375
