img_name;folder;image;h_1;h_2;h_3;h_4;h_5;h_6;h_7;h_8;h_9;h_10;h_11;h_12;h_13;h_14;h_15;h_16;h_17;h_18;h_19;h_20;h_21;h_22;h_23;h_24;h_25;h_26;h_27;h_28;h_29;h_30;h_31;h_32;h_33;h_34;h_35;h_36;h_37;h_38;h_39;h_40;h_41;h_42;h_43;h_44;h_45;h_46;h_47;h_48;h_49;h_50;h_51;h_52;h_53;h_54;h_55;h_56;h_57;h_58;h_59;h_60;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30;pw_31;pw_32;pw_33;pw_34;pw_35;pw_36;pw_37;pw_38;pw_39;pw_40;pw_41;pw_42;pw_43;pw_44;pw_45;pw_46;pw_47;pw_48;pw_49;pw_50;pw_51;pw_52;pw_53;pw_54;pw_55;pw_56;pw_57;pw_58;pw_59;pw_60
Pieza_01_foto0219;1;219;57;57;57;57;58;59;59;60;60;60;60;60;61;61;61;61;61;64;64;64;64;64;64;64;64;64;64;65;65;65;65;65;69;69;69;69;69;65;65;65;73;73;73;73;73;74;76;76;76;76;76;71;71;71;71;77;77;77;77;77;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0437051532941943;1.0437051532941943;1.0437051532941943;1.0437051532941943;1.0437051532941943;1.3513513513513513;3.0701754385964914;3.0701754385964914;3.0701754385964914;3.0701754385964914;0.8771929824561403;0.2682763246143528;0.2682763246143528;0.2682763246143528;0.2682763246143528;3.9579468150896724;3.9579468150896724;3.9579468150896724;3.9579468150896724;3.9579468150896724
Pieza_01_foto0255;1;255;57;57;57;57;57;57;56;55;55;55;56;57;58;59;59;59;59;59;59;59;59;59;72;74;74;74;74;74;69;69;69;69;66;66;66;66;66;66;67;67;67;67;67;67;67;68;69;69;70;70;70;70;70;70;70;70;70;70;70;70;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.46296296296296297;1.6087516087516087;1.6087516087516087;1.6087516087516087;1.6087516087516087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06802721088435375;0.06802721088435375;0.06802721088435375;0.06802721088435375;0.06802721088435375;0.06802721088435375;0.06802721088435375;0.06802721088435375;0.06802721088435375;0.06802721088435375;0.06802721088435375;0.06802721088435375
Pieza_01_foto0277;1;277;69;69;69;68;68;68;68;68;68;68;68;68;68;68;67;67;67;67;67;67;67;67;67;67;67;67;65;65;65;65;65;65;65;65;65;64;64;64;64;63;63;63;63;63;63;63;63;63;62;62;62;62;62;61;61;61;60;60;60;60;30.434782608695652;30.434782608695652;30.434782608695652;30.88235294117647;30.88235294117647;30.88235294117647;30.88235294117647;30.88235294117647;30.88235294117647;30.88235294117647;30.88235294117647;30.88235294117647;30.88235294117647;30.88235294117647;31.34328358208955;31.34328358208955;31.34328358208955;31.34328358208955;31.34328358208955;31.34328358208955;31.34328358208955;31.34328358208955;31.34328358208955;31.34328358208955;31.34328358208955;31.34328358208955;32.30769230769231;32.30769230769231;32.30769230769231;32.30769230769231;32.30769230769231;32.30769230769231;32.30769230769231;32.30769230769231;32.30769230769231;32.8125;32.8125;32.8125;32.8125;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.87096774193548;33.87096774193548;33.87096774193548;33.87096774193548;33.87096774193548;34.42622950819672;34.42622950819672;34.42622950819672;35.0;35.0;35.0;35.0
Pieza_01_foto0295;1;295;55;55;55;55;55;55;55;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;54;55;55;55;55;55;59;59;59;59;59;58;58;58;58;58;59;59;59;59;59;58;58;58;58;58;58;58;59;61;62;62;62;62;62;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.078064012490242;0.30721966205837176;0.30721966205837176;0.30721966205837176;0.30721966205837176;0.30721966205837176
Pieza_01_foto0318;1;318;70;70;70;70;70;70;70;70;70;69;69;69;69;69;69;69;69;68;68;67;67;67;66;66;66;66;66;66;66;66;65;65;65;64;64;64;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;63;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.434782608695652;30.434782608695652;30.434782608695652;30.434782608695652;30.434782608695652;30.434782608695652;30.434782608695652;30.434782608695652;30.88235294117647;30.88235294117647;31.34328358208955;31.34328358208955;31.34328358208955;31.818181818181817;31.818181818181817;31.818181818181817;31.818181818181817;31.818181818181817;31.818181818181817;31.818181818181817;31.818181818181817;32.30769230769231;32.30769230769231;32.30769230769231;32.8125;32.8125;32.8125;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336
Pieza_01_foto0319;1;319;84;84;84;85;85;85;85;85;85;85;85;85;84;79;79;79;79;79;79;79;79;79;79;79;79;80;80;80;80;79;76;76;76;76;75;68;67;49;49;49;49;79;79;79;84;84;84;84;84;83;83;82;82;82;78;78;77;75;75;75;25.0;25.0;25.0;24.705882352941178;24.705882352941178;24.705882352941178;24.705882352941178;24.705882352941178;24.705882352941178;24.705882352941178;24.705882352941178;24.705882352941178;25.0;26.582278481012658;26.582278481012658;26.582278481012658;26.582278481012658;26.582278481012658;26.582278481012658;26.582278481012658;26.582278481012658;26.582278481012658;26.582278481012658;26.582278481012658;26.582278481012658;26.25;26.25;26.25;26.25;26.582278481012658;27.63157894736842;27.63157894736842;27.63157894736842;27.63157894736842;28.0;30.88235294117647;31.34328358208955;42.857142857142854;42.857142857142854;42.857142857142854;42.857142857142854;26.582278481012658;26.582278481012658;26.582278481012658;25.0;25.0;25.0;25.0;25.0;25.301204819277107;25.301204819277107;25.609756097560975;25.609756097560975;25.609756097560975;26.923076923076923;26.923076923076923;27.272727272727273;28.0;28.0;28.0
Pieza_01_foto0344;1;344;56;56;56;56;56;58;58;58;58;58;55;55;55;55;61;62;62;62;62;60;54;54;54;54;55;55;55;55;55;55;55;55;54;54;54;53;53;53;55;55;56;56;58;61;61;61;61;61;54;54;54;54;54;57;57;57;57;57;57;57;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.078064012490242;0.30721966205837176;0.30721966205837176;0.30721966205837176;0.07680491551459294;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.078064012490242;0.078064012490242;0.078064012490242;0.078064012490242;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_01_foto0369;1;369;66;66;66;66;66;66;64;64;64;64;64;64;64;64;63;63;63;64;64;64;64;64;63;63;63;63;64;64;64;64;64;62;62;62;62;62;62;62;62;60;60;60;60;61;61;61;61;61;61;61;60;60;60;61;61;61;61;61;61;61;31.818181818181817;31.818181818181817;31.818181818181817;31.818181818181817;31.818181818181817;31.818181818181817;32.8125;32.8125;32.8125;32.8125;32.8125;32.8125;32.8125;32.8125;33.333333333333336;33.333333333333336;33.333333333333336;32.8125;32.8125;32.8125;32.8125;32.8125;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;32.8125;32.8125;32.8125;32.8125;32.8125;33.87096774193548;33.87096774193548;33.87096774193548;33.87096774193548;33.87096774193548;33.87096774193548;33.87096774193548;33.87096774193548;35.0;35.0;35.0;35.0;34.42622950819672;34.42622950819672;34.42622950819672;34.42622950819672;34.42622950819672;34.42622950819672;34.42622950819672;35.0;35.0;35.0;34.42622950819672;34.42622950819672;34.42622950819672;34.42622950819672;34.42622950819672;34.42622950819672;34.42622950819672
Pieza_01_foto038;1;38;69;69;69;69;69;67;67;67;67;69;69;69;69;69;64;64;64;64;76;77;77;77;77;71;65;65;65;65;68;68;68;68;68;67;66;66;64;64;64;64;62;62;62;62;62;62;62;62;60;56;56;56;56;58;58;58;58;58;57;57;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.944862155388471;3.9579468150896724;3.9579468150896724;3.9579468150896724;2.473716759431045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_01_foto039;1;39;64;64;64;64;63;63;63;63;63;61;61;61;61;61;61;61;61;61;60;60;60;60;60;60;60;60;60;60;60;60;60;60;59;59;59;59;63;63;63;63;63;62;62;59;54;51;51;51;56;57;57;57;57;56;56;56;56;56;56;56;1.1904761904761905;1.1904761904761905;1.1904761904761905;0.8928571428571429;0.6802721088435374;0.6802721088435374;0.6802721088435374;0.6802721088435374;0.22675736961451248;0.078064012490242;0.078064012490242;0.078064012490242;0.078064012490242;0.078064012490242;0.078064012490242;0.078064012490242;0.078064012490242;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6802721088435374;0.6802721088435374;0.6802721088435374;0.6802721088435374;0.45351473922902497;0.30721966205837176;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
