img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20
Pieza_06_foto4;6;4;0.0;19.3359375;100.0;69.5;11.6015625;99.71875;65.1171875;1.6875;59.0234375;77.3203125;0.0;6.421875;100.0;83.328125;4.5390625;94.15625;18.921875;0.0;59.640625;2.5859375
Pieza_06_foto41;6;41;0.0;0.0;0.0;45.295138888888886;76.25;54.40972222222222;37.5;4.756944444444445;0.0;0.0;0.0;0.0;0.0;63.62847222222222;77.5;80.0;66.16319444444444;2.4652777777777777;0.0;0.0
Pieza_06_foto42;6;42;0.0;51.5234375;27.1875;59.837239583333336;76.14583333333333;65.4296875;46.5234375;29.680989583333332;53.600260416666664;29.498697916666668;0.0;47.9296875;11.953125;64.18619791666667;45.833333333333336;46.783854166666664;52.858072916666664;24.518229166666668;0.0;0.0
Pieza_06_foto43;6;43;0.0;0.0;0.0;39.27734375;100.0;100.0;100.0;90.05859375;13.28125;0.0;0.0;0.0;0.0;34.4921875;100.0;100.0;100.0;98.65234375;26.15234375;0.0
Pieza_06_foto46;6;46;0.0;0.0;0.0;0.0;9.4921875;21.5625;35.7421875;50.911458333333336;34.7265625;36.419270833333336;0.0;0.0;33.424479166666664;33.7890625;3.7109375;0.0;47.096354166666664;66.73177083333333;17.65625;28.4375
Pieza_06_foto47;6;47;73.125;73.86160714285714;80.82589285714286;16.194196428571427;21.495535714285715;56.14955357142857;54.84375;54.799107142857146;7.366071428571429;0.0;62.1875;62.32142857142857;93.77232142857143;56.5625;40.9375;38.761160714285715;33.872767857142854;24.877232142857142;15.625;13.125
Pieza_06_foto5;6;5;56.979166666666664;21.51909722222222;0.0;29.80902777777778;65.95486111111111;91.5625;98.984375;61.467013888888886;9.6875;0.0;40.3125;60.85069444444444;92.76041666666667;99.74826388888889;97.74305555555556;63.70659722222222;14.565972222222221;0.0;0.0;0.0
Pieza_06_foto50;6;50;0.0;0.0;0.0;1.9140625;55.2734375;83.125;83.7109375;84.0625;84.0625;84.0625;0.0;0.0;0.0;0.0;66.40625;90.78125;91.50390625;92.1875;92.1875;92.1875
Pieza_06_foto51;6;51;0.0;0.0;0.0;8.02734375;87.03125;100.0;65.76171875;56.30859375;41.71875;41.71875;0.0;0.0;0.0;13.4375;89.04296875;98.7109375;89.6875;88.8671875;87.5;87.5
Pieza_06_foto52;6;52;0.0;1.3504464285714286;57.47767857142857;27.388392857142858;29.988839285714285;57.890625;70.0;97.35491071428571;51.69642857142857;49.6875;0.0;0.0;17.064732142857142;21.71875;64.56473214285714;95.75892857142857;100.0;100.0;19.051339285714285;0.0
Pieza_06_foto53;6;53;0.0;0.0;0.0;4.166666666666667;12.5;59.778645833333336;89.375;97.109375;9.2578125;0.0;0.0;0.0;28.0078125;60.208333333333336;79.21875;80.078125;85.625;84.28385416666667;8.059895833333334;0.0
Pieza_06_foto55;6;55;100.0;100.0;100.0;100.0;100.0;93.45486111111111;24.635416666666668;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;17.32638888888889;0.0;0.0;0.0
Pieza_06_foto56;6;56;0.0;0.0;0.0;0.0;59.895833333333336;100.0;100.0;100.0;81.11111111111111;78.75;0.0;0.0;0.0;33.888888888888886;99.09722222222223;100.0;100.0;80.08680555555556;15.190972222222221;12.96875
Pieza_06_foto58;6;58;92.60044642857143;62.99107142857143;55.91517857142857;90.02232142857143;100.0;100.0;100.0;60.535714285714285;33.917410714285715;63.359375;57.03125;62.957589285714285;69.6875;79.6875;100.0;100.0;86.36160714285714;60.9375;13.247767857142858;18.90625
Pieza_06_foto59;6;59;44.947916666666664;27.254464285714285;64.47172619047619;6.086309523809524;12.760416666666666;85.81845238095238;40.29017857142857;16.354166666666668;60.513392857142854;0.0;0.0;21.629464285714285;46.041666666666664;2.5074404761904763;20.796130952380953;100.0;40.52827380952381;13.333333333333334;58.697916666666664;7.708333333333333
Pieza_06_foto6;6;6;0.0;0.0;0.0;9.70703125;100.0;100.0;75.13671875;61.81640625;23.90625;23.90625;17.96875;17.96875;17.96875;36.953125;100.0;100.0;94.921875;89.47265625;85.46875;85.46875
