img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30;pw_31;pw_32;pw_33;pw_34;pw_35;pw_36;pw_37;pw_38;pw_39;pw_40;pw_41;pw_42;pw_43;pw_44;pw_45;pw_46;pw_47;pw_48;pw_49;pw_50;pw_51;pw_52;pw_53;pw_54;pw_55;pw_56;pw_57;pw_58;pw_59;pw_60
Pieza_05_foto55;5;55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.421875;4.84375;4.84375;4.84375;4.84375;4.84375;4.84375;4.84375;4.84375;2.265625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;87.34375;87.34375;87.34375;87.34375;87.34375;87.34375;87.34375;87.34375;43.75;6.25;0.0;0.0
Pieza_05_foto56;5;56;41.875;26.6015625;13.020833333333334;13.072916666666666;27.1484375;39.739583333333336;14.0625;20.872395833333332;33.268229166666664;13.9453125;37.3046875;50.078125;77.3046875;49.700520833333336;12.5;39.153645833333336;92.03125;49.583333333333336;21.71875;8.2421875;18.216145833333332;41.5625;52.3828125;61.536458333333336;55.520833333333336;45.625;14.401041666666666;14.348958333333334;21.5625;1.2760416666666667;8.5546875;0.0;22.096354166666668;57.643229166666664;60.299479166666664;66.34114583333333;74.53125;71.40625;69.453125;65.625;45.846354166666664;11.080729166666666;8.4375;2.8125;34.622395833333336;46.6796875;52.8125;34.635416666666664;56.080729166666664;42.044270833333336;17.65625;19.296875;24.21875;25.481770833333332;39.895833333333336;14.3359375;0.0;11.354166666666666;13.619791666666666;0.0
Pieza_05_foto59;5;59;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;67.96875;54.010416666666664;16.770833333333332;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;91.71875;81.25;81.25;81.25;81.25;81.25;81.25;81.25;66.61458333333333;17.760416666666668;17.135416666666668;10.833333333333334;0.0;0.0;0.0;0.0
Pieza_05_foto6;5;6;0.0;0.0;3.482142857142857;37.700892857142854;38.90625;24.174107142857142;9.6875;7.455357142857143;5.959821428571429;22.5;36.38392857142857;74.41964285714286;100.0;72.00892857142857;21.004464285714285;13.28125;13.28125;13.28125;13.28125;21.004464285714285;78.86160714285714;78.90625;78.90625;94.95535714285714;88.39285714285714;76.80803571428571;24.330357142857142;0.0;0.0;0.0;0.0;0.0;0.0;35.0;55.691964285714285;55.78125;55.379464285714285;54.84375;28.4375;0.0;0.0;3.28125;70.91517857142857;91.875;91.74107142857143;85.15625;84.88839285714286;73.05803571428571;57.589285714285715;55.0;53.90625;34.08482142857143;21.09375;10.736607142857142;2.1651785714285716;0.0;0.0;0.0;0.0;0.0
Pieza_05_foto60;5;60;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;87.34375;74.53125;74.53125;74.53125;54.583333333333336;9.53125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;87.39583333333333;80.78125;63.489583333333336;56.25;56.25;44.270833333333336;12.083333333333334;3.9583333333333335;0.0;0.0
Pieza_05_foto63;5;63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.734375;24.53125;26.25;26.25;26.25;26.25;26.25;26.25;26.25;26.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_05_foto64;5;64;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.875;33.203125;90.234375;97.1875;97.1875;97.1875;97.1875;97.1875;97.1875;97.1875;97.1875;97.1875;90.78125;77.109375;76.796875;28.125;28.125;28.125;28.125;28.125;15.9375;15.46875;14.6875;14.0625;13.4375;12.578125;11.875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_05_foto65;5;65;0.0;0.0;0.0;0.0;20.2734375;46.875;71.2890625;82.9296875;82.65625;54.3359375;31.25;4.8828125;0.0;2.3828125;18.203125;31.40625;31.40625;31.40625;27.8515625;13.2421875;0.0;0.0;0.0;0.0;10.859375;27.5;27.5;27.5;27.5;12.0703125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.5859375;69.4140625;91.796875;100.0;97.5;77.0703125;27.34375;19.21875;19.21875;19.21875;19.21875;54.296875;59.84375;59.84375;59.84375;51.3671875;9.8828125;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_05_foto66;5;66;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.947916666666664;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;97.96875;67.55208333333333;16.302083333333332;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.28125;18.28125;18.28125;22.083333333333332;33.333333333333336;45.989583333333336;58.229166666666664;85.3125;90.10416666666667;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;94.21875;54.114583333333336;16.09375;0.0;0.0;0.0;0.0;0.0
Pieza_05_foto67;5;67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.354166666666668;26.276041666666668;37.942708333333336;45.026041666666664;61.71875;69.84375;56.875;38.098958333333336;35.546875;30.729166666666668;27.109375;27.03125;27.03125;0.0;0.0;0.0;0.0;21.276041666666668;30.46875;30.46875;30.46875;42.604166666666664;48.90625;48.90625;51.041666666666664;61.71875;61.71875;59.505208333333336;32.630208333333336;0.0;2.1354166666666665;24.0625;91.43229166666667;100.0;100.0;100.0;96.40625;40.338541666666664;0.0;0.0;0.0;0.0;0.0
