img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30;pw_31;pw_32;pw_33;pw_34;pw_35;pw_36;pw_37;pw_38;pw_39;pw_40;pw_41;pw_42;pw_43;pw_44;pw_45;pw_46;pw_47;pw_48;pw_49;pw_50;pw_51;pw_52;pw_53;pw_54;pw_55;pw_56;pw_57;pw_58;pw_59;pw_60;pw_61;pw_62;pw_63;pw_64;pw_65;pw_66;pw_67;pw_68;pw_69;pw_70;pw_71;pw_72;pw_73;pw_74;pw_75;pw_76;pw_77;pw_78;pw_79;pw_80
Pieza_05_foto82;5;82;45.0;45.0;45.0;45.0;86.25;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;91.015625;82.03125;82.03125;82.03125;82.2265625;91.796875;100.0;100.0;89.375;78.7109375;77.1484375;58.671875;52.96875;52.96875;52.65625;52.65625;52.5390625;52.03125;52.03125;52.03125;50.5078125;44.1796875;37.421875;65.78125;65.78125;65.78125;65.78125;76.171875;85.9375;85.9375;85.9375;85.9375;85.9375;85.9375;85.9375;74.3359375;79.84375;79.84375;79.84375;79.84375;79.8046875;79.3359375;79.21875;78.75;72.109375;66.015625;57.421875;28.7109375;23.984375;23.59375;23.59375;23.0078125;18.046875;12.6171875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_05_foto83;5;83;8.59375;8.59375;8.59375;33.723958333333336;39.21875;46.536458333333336;14.739583333333334;21.354166666666668;34.270833333333336;39.375;39.375;31.692708333333332;9.6875;0.0;0.0;0.0;45.052083333333336;99.11458333333333;100.0;68.22916666666667;3.5416666666666665;0.0;0.0;22.994791666666668;31.09375;31.09375;8.307291666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.25;16.25;16.145833333333332;1.7708333333333333;0.0;0.0;6.71875;6.71875;6.822916666666667;15.885416666666666;63.177083333333336;100.0;96.51041666666667;50.416666666666664;10.807291666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;78.54166666666667;100.0;100.0;87.96875;75.9375;71.640625;66.19791666666667;74.21875;74.21875;54.557291666666664;47.8125;47.8125;63.567708333333336;64.0625;58.151041666666664;23.463541666666668;22.03125;22.03125;32.1875;32.1875;28.489583333333332;1.40625;0.0
Pieza_05_foto84;5;84;0.0;0.0;0.0;0.0;0.0;10.4375;98.96875;100.0;100.0;85.34375;47.65625;47.65625;47.65625;55.3125;57.96875;57.96875;57.96875;38.28125;8.59375;8.59375;9.875;57.0;69.84375;69.84375;60.1875;23.4375;23.4375;23.4375;23.4375;23.4375;23.4375;3.3125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.6875;75.71875;100.0;100.0;97.8125;89.0625;89.0625;89.0625;89.0625;89.0625;100.0;80.5;60.6875;44.0625;30.9375;30.9375;32.8125;64.5625;76.71875;76.71875;58.375;15.875;0.0;0.0;0.0;0.0;0.0;24.0625;26.5625;26.5625;29.6875;21.25;21.25;21.6875;25.71875
Pieza_05_foto85;5;85;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.84375;77.65625;77.65625;77.65625;77.65625;77.65625;72.70833333333333;8.125;0.0;0.0;0.0;0.0;0.0;0.3125;59.114583333333336;91.51041666666667;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;17.1875;17.1875;17.1875;17.1875;17.1875;17.1875;17.1875;17.1875;17.1875;24.21875;41.875;78.90625;100.0;100.0;100.0;100.0;95.41666666666667;70.41666666666667;24.53125;12.8125;12.8125;12.8125;12.8125;12.8125;12.8125;57.03125;100.0;100.0;100.0;100.0;100.0;76.51041666666667;24.21875;24.21875;24.21875;24.21875;24.21875;24.21875;24.322916666666668;24.375
Pieza_05_foto88;5;88;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;97.109375;75.546875;15.546875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;76.953125;54.921875;32.890625;5.390625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_05_foto89;5;89;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;88.02083333333333;75.15625;75.15625;75.15625;75.15625;74.6875;40.104166666666664;16.822916666666668;15.9375;15.9375;15.9375;14.895833333333334;14.375;14.375;14.375;14.375;13.645833333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;95.9375;70.41666666666667;32.65625;15.364583333333334;7.65625;0.0;0.0
Pieza_05_foto9;5;9;85.15625;85.15625;85.15625;85.15625;85.15625;85.15625;85.15625;85.15625;85.15625;85.15625;85.15625;85.15625;85.15625;85.15625;85.15625;85.703125;86.25;86.25;86.25;86.25;86.25;86.25;86.25;86.25;56.71875;55.15625;55.15625;55.15625;55.15625;55.15625;55.15625;55.15625;55.15625;55.46875;55.46875;55.46875;55.46875;55.46875;55.46875;55.46875;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;75.46875;75.46875;75.46875;75.46875;75.46875;75.46875;75.46875;75.46875;73.828125;41.484375;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.9375;21.875;21.875;21.875;21.875;21.875;21.875
Pieza_05_foto91;5;91;45.3125;45.3125;45.3125;45.3125;45.3125;29.479166666666668;12.109375;0.0;0.0;0.0;11.848958333333334;14.21875;21.458333333333332;16.875;16.510416666666668;0.9375;16.848958333333332;78.90625;78.90625;68.046875;52.65625;44.84375;29.21875;39.296875;49.375;49.375;26.614583333333332;0.0;0.0;2.6041666666666665;41.145833333333336;45.0;43.229166666666664;0.0;0.0;0.0;3.8541666666666665;11.71875;11.71875;10.338541666666666;29.6875;29.6875;29.6875;34.739583333333336;63.28125;63.28125;57.369791666666664;2.5260416666666665;0.0;0.0;6.119791666666667;9.270833333333334;27.5;50.625;50.625;46.927083333333336;1.953125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.057291666666668;68.59375;68.59375;55.9375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.083333333333332;59.713541666666664;61.09375;60.208333333333336
Pieza_05_foto92;5;92;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.578125;18.828125;42.8125;61.875;92.421875;100.0;100.0;100.0;100.0;99.21875;91.328125;86.875;73.90625;61.25;33.125;26.09375;26.09375;26.09375;23.28125;20.46875;21.71875;25.78125;28.28125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0625;26.015625;47.96875;68.359375;73.125;73.125;73.125;73.125;72.96875;65.625;61.40625;61.40625;38.046875;28.90625;28.90625;28.90625;28.90625;20.078125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_05_foto93;5;93;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.03125;64.21875;64.21875;63.28125;60.9375;60.9375;65.9375;65.9375;65.9375;60.53125;40.25;38.75;38.75;38.75;38.75;49.375;21.8125;14.6875;11.75;14.1875;70.3125;70.3125;70.3125;22.8125;0.0;14.5;18.125;18.125;16.40625;3.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.21875;87.96875;93.28125;93.28125;93.28125;81.53125;79.9375;85.3125;85.3125;85.3125;79.65625;39.0;30.9375;30.9375;30.9375;30.9375;25.375;17.1875;17.1875;16.4375;0.0;0.0;0.0;0.0;0.0;0.0;9.8125;37.1875;37.1875;37.1875;17.71875;0.0;0.0;0.0
