img_name;folder;image;h_1;h_2;h_3;h_4;h_5;h_6;h_7;h_8;h_9;h_10;h_11;h_12;h_13;h_14;h_15;h_16;h_17;h_18;h_19;h_20;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20
Pieza_05_foto0221;5;221;153;153;153;153;153;153;153;153;147;153;153;153;153;153;153;153;153;153;153;153;41.830065359477125;41.830065359477125;41.830065359477125;41.830065359477125;41.830065359477125;41.830065359477125;41.830065359477125;41.830065359477125;43.53741496598639;41.830065359477125;41.830065359477125;41.830065359477125;41.830065359477125;41.830065359477125;41.830065359477125;41.830065359477125;41.830065359477125;41.830065359477125;41.830065359477125;41.830065359477125
Pieza_05_foto0223;5;223;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;60;64;64;61;54;64.64646464646465;64.64646464646465;64.64646464646465;64.64646464646465;64.64646464646465;64.64646464646465;64.64646464646465;64.64646464646465;64.64646464646465;64.64646464646465;64.64646464646465;64.64646464646465;64.64646464646465;64.64646464646465;62.62626262626262;93.75;98.92578125;98.6328125;89.0625;84.375
Pieza_05_foto0229;5;229;48;50;50;50;55;64;77;84;92;93;105;117;119;146;152;158;173;173;178;181;75.0;76.03125;78.125;78.125;80.48295454545455;94.0185546875;83.11688311688312;76.19047619047619;69.56521739130434;68.81720430107526;60.95238095238095;54.7008547008547;53.78151260504202;43.83561643835616;42.10526315789474;40.50632911392405;36.994219653179194;36.994219653179194;35.95505617977528;35.35911602209945
Pieza_05_foto0232;5;232;99;99;99;99;99;99;99;99;57;57;58;64;73;73;63;70;74;80;80;80;64.64646464646465;64.64646464646465;64.64646464646465;64.64646464646465;64.64646464646465;64.64646464646465;64.64646464646465;57.82828282828283;87.5;89.0625;89.41271551724138;98.4130859375;87.67123287671232;87.37157534246575;98.4375;91.18303571428571;86.48648648648648;80.0;80.0;80.0
Pieza_05_foto0234;5;234;58;58;64;64;63;63;70;70;70;64;64;62;62;62;58;65;65;65;66;66;27.586206896551722;27.586206896551722;34.3017578125;35.15625;33.95337301587302;30.282738095238095;36.316964285714285;43.214285714285715;37.32142857142857;35.25390625;33.3984375;32.66129032258065;32.66129032258065;30.846774193548388;27.586206896551722;31.322115384615383;36.5625;36.5625;37.878787878787875;37.878787878787875
Pieza_05_foto0235;5;235;59;59;59;62;62;65;65;65;56;60;60;59;54;53;53;53;54;56;56;55;46.71610169491525;46.71610169491525;46.71610169491525;49.87399193548387;51.033266129032256;53.00480769230769;55.38461538461539;45.60096153846154;42.43861607142857;48.151041666666664;47.473958333333336;41.154661016949156;38.541666666666664;38.20754716981132;38.20754716981132;38.20754716981132;39.61226851851852;42.32700892857143;41.9921875;41.02272727272727
Pieza_05_foto027;5;27;60;64;65;73;73;73;90;95;97;109;113;126;126;127;131;138;143;154;154;155;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0145623998835008;0.3090321674392471;4.081632653061225;4.081632653061225;4.324459442569679;6.361323155216285;9.604324821716126;12.598512598512599;20.294784580498867;21.809936095650382;22.519201228878647
Pieza_05_foto028;5;28;171;171;155;151;95;98;127;127;126;111;60;63;65;79;79;79;73;69;65;57;37.42690058479532;37.42690058479532;41.29032258064516;42.384105960264904;67.36842105263158;65.3061224489796;50.39370078740158;50.39370078740158;50.79365079365079;54.631193693693696;92.8125;96.40376984126983;97.57211538461539;81.0126582278481;81.0126582278481;81.0126582278481;87.67123287671232;92.7536231884058;92.16346153846153;89.0625
Pieza_05_foto04;5;4;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;60.95238095238095;60.95238095238095;60.95238095238095;60.95238095238095;60.95238095238095;60.95238095238095;60.95238095238095;60.95238095238095;60.95238095238095;60.95238095238095;60.95238095238095;60.95238095238095;60.95238095238095;60.95238095238095;60.95238095238095;60.95238095238095;60.95238095238095;60.95238095238095;60.95238095238095;60.95238095238095
Pieza_05_foto040;5;40;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;60.57692307692308;60.57692307692308;60.57692307692308;60.57692307692308;60.57692307692308;60.57692307692308;60.57692307692308;60.57692307692308;60.57692307692308;60.57692307692308;60.57692307692308;60.57692307692308;60.57692307692308;60.57692307692308;60.57692307692308;60.57692307692308;60.57692307692308;60.57692307692308;60.57692307692308;60.57692307692308
Pieza_05_foto06;5;6;77;77;77;77;77;77;77;77;77;77;77;77;77;77;77;77;77;77;77;77;83.11688311688312;83.11688311688312;83.11688311688312;83.11688311688312;83.11688311688312;83.11688311688312;83.11688311688312;83.11688311688312;83.11688311688312;83.11688311688312;83.11688311688312;83.11688311688312;83.11688311688312;83.11688311688312;83.11688311688312;83.11688311688312;83.11688311688312;83.11688311688312;83.11688311688312;83.11688311688312
Pieza_05_foto067;5;67;212;212;212;165;167;167;89;48;49;50;48;53;54;47;49;49;50;64;124;114;30.18867924528302;30.18867924528302;30.18867924528302;38.78787878787879;38.32335329341317;21.706586826347305;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.027925531914896;75.38265306122449;76.5625;0.6875;3.02734375;46.20715725806452;56.14035087719298
Pieza_05_foto082;5;82;50;83;88;96;105;109;114;117;125;131;138;138;143;143;152;157;161;164;167;167;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42938931297709926;1.9134963768115942;1.9134963768115942;3.0594405594405596;3.5402097902097904;6.8667763157894735;9.942277070063694;12.402950310559007;13.881478658536585;16.373502994011975;16.50449101796407
Pieza_05_foto088;5;88;83;83;81;80;80;79;78;77;76;77;77;76;74;74;73;60;60;59;59;57;43.373493975903614;41.88629518072289;40.50925925925926;39.55078125;38.671875;37.57911392405063;37.01923076923077;34.94318181818182;34.56003289473684;35.612824675324674;35.49107142857143;33.51151315789474;32.11570945945946;32.073479729729726;20.333904109589042;16.276041666666668;15.625;15.254237288135593;14.115466101694915;13.267543859649123
Pieza_05_foto112;5;112;131;131;104;104;104;104;127;127;127;122;119;112;107;102;98;93;88;83;79;79;48.85496183206107;48.85496183206107;61.53846153846154;61.53846153846154;61.53846153846154;61.53846153846154;50.39370078740158;50.39370078740158;50.39370078740158;52.459016393442624;53.78151260504202;57.142857142857146;59.81308411214953;62.745098039215684;65.3061224489796;68.81720430107526;72.72727272727273;77.10843373493977;81.0126582278481;81.0126582278481
Pieza_05_foto118;5;118;53;54;56;56;56;55;57;69;69;81;81;81;65;66;68;68;69;73;75;75;82.8125;82.98611111111111;84.51450892857143;87.5;86.88616071428571;85.9375;87.36293859649123;90.6929347826087;92.7536231884058;79.01234567901234;79.01234567901234;79.01234567901234;98.46153846153847;96.96969696969697;94.11764705882354;94.11764705882354;92.7536231884058;87.67123287671232;85.33333333333333;85.33333333333333
Pieza_05_foto132;5;132;128;128;128;71;71;71;71;47;69;69;69;46;45;128;128;128;128;128;128;128;50.0;50.0;50.0;90.14084507042253;90.14084507042253;90.14084507042253;84.88116197183099;72.34042553191489;71.96557971014492;92.7536231884058;91.93840579710145;71.875;70.3125;43.505859375;50.0;50.0;50.0;50.0;50.0;50.0
Pieza_05_foto142;5;142;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;36;36;37;37;70.3125;70.3125;70.3125;70.3125;70.3125;70.3125;70.3125;70.3125;70.3125;70.3125;70.3125;70.3125;70.3125;70.3125;70.3125;69.34027777777777;55.90277777777778;54.6875;57.8125;57.8125
